trial,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std,mean_ms_per_step,noise_sigma,mask_fraction
0,0,80,0,1,5,S,7,5,10,0.0,0.075,0.3433216666482622,0.3173252623528242,2.700293434463674,0.0,0.0
1,1,23,0,8,1,S,1,4,10,0.43478260869565216,0.30434782608695654,0.4567814859683099,0.2771528641814771,2.6780253038336723,0.0,0.0
2,1,28,0,5,3,S,8,7,13,0.4642857142857143,0.42857142857142855,0.20119633422499256,0.29916776503835407,2.677901608486926,0.0,0.0
3,0,80,0,7,5,W,7,1,16,0.0,0.525,0.6628558827098459,0.3053612161427736,2.672701796836918,0.0,0.0
4,0,80,0,5,3,W,1,6,7,0.0,0.225,1.096614047139883,0.32376354169100524,2.713662875612499,0.0,0.0
5,1,15,0,4,8,E,5,2,9,0.6,0.13333333333333333,0.23475749467809995,0.2899399896462758,2.6633546726467707,0.0,0.0
6,1,15,0,2,1,W,8,4,9,0.6,0.4,0.6825784912953774,0.28835647900899253,2.6024998049251735,0.0,0.0
7,1,17,0,6,1,W,4,3,4,0.23529411764705882,0.058823529411764705,0.4695470642079325,0.2967699555789723,2.6649161214556765,0.0,0.0
8,0,80,5,5,5,E,4,7,3,0.0,0.25,0.5280516070313752,0.29785342887043953,2.7379308245144784,0.0,0.0
9,0,80,0,3,1,S,1,5,6,0.0,1.0,1.303117510676384,0.314860001206398,2.688221424614312,0.0,0.0
10,0,80,0,8,2,W,1,3,10,0.0,0.0125,0.3306858502328396,0.2916374247521162,2.6908386724244338,0.0,0.0
11,1,16,1,7,8,S,3,4,8,0.5,0.1875,0.3178541332599707,0.2853476023301482,2.3569596887682565,0.0,0.0
12,0,80,0,1,8,S,7,5,13,0.0,0.275,0.6802123286295683,0.2977022839710116,2.4690030732017476,0.0,0.0
13,0,80,0,3,7,W,1,4,5,0.0,0.1125,0.3473094478598796,0.29989651273936035,2.4001712386962026,0.0,0.0
14,0,80,0,4,8,S,8,3,15,0.0,0.1375,0.40996927093947305,0.3324189022183418,2.4521897379599977,0.0,0.0
15,0,80,0,2,1,E,3,8,10,0.0,0.7375,1.066965176165104,0.3023417504504323,2.448908103542635,0.0,0.0
16,1,25,0,5,2,S,1,2,6,0.24,0.28,0.5632129615545273,0.29970395386219023,2.357490563299507,0.0,0.0
17,0,80,0,1,7,S,7,2,13,0.0,0.55,0.34557235420215876,0.31160496920347214,2.4385359036386944,0.0,0.0
18,0,80,0,8,4,E,7,2,3,0.0,0.7875,0.3978397964965552,0.33004922661930325,2.4013253110751975,0.0,0.0
19,1,17,0,8,7,E,4,3,12,0.7058823529411765,0.058823529411764705,0.27047356308492665,0.28800710071535673,2.442102410200545,0.0,0.0
20,0,80,0,8,3,N,3,8,14,0.0,0.0625,0.7566352378576994,0.2946727931499481,2.4344282981473953,0.0,0.0
21,0,80,0,5,1,N,7,6,15,0.0,0.0625,0.5056966681033372,0.29099586308002473,2.471346311358502,0.0,0.0
22,0,80,0,4,8,S,1,6,7,0.0,0.5,0.29484580210992134,0.2959701556712389,2.4854603383573703,0.0,0.0
23,0,80,0,5,1,N,3,6,7,0.0,0.775,1.1541320310905576,0.29588482826948165,2.4129303499648813,0.0,0.0
24,1,25,0,8,6,N,4,7,7,0.28,0.16,0.3115663388185203,0.28414053201675415,2.4262673198245466,0.0,0.0
25,1,25,1,7,8,S,6,1,14,0.56,0.12,0.25191045133396983,0.28859839141368865,2.4959101201966405,0.0,0.0
26,1,5,0,1,5,W,3,6,3,0.6,0.4,0.5577324941754341,0.2897515922784805,2.4048401857726276,0.0,0.0
27,1,27,0,7,8,W,4,7,4,0.14814814814814814,0.07407407407407407,0.2799245503610345,0.2831455921685254,2.4504981896219156,0.0,0.0
