trial,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std,mean_ms_per_step,noise_sigma,mask_fraction
0,0,80,0,1,5,S,7,5,10,0.0,0.0375,0.2822175433626398,0.32070808224380015,2.8699166359729134,0.0,0.0
1,1,17,0,8,1,S,1,4,10,0.5882352941176471,0.11764705882352941,0.3583053680246367,0.26692308660815744,2.9385085902450716,0.0,0.0
2,0,80,0,5,3,S,8,7,13,0.0,0.0625,0.2424053824855946,0.3244753830134869,2.923077174637001,0.0,0.0
3,1,69,0,7,5,W,7,1,16,0.2318840579710145,0.14492753623188406,0.5861810791049746,0.2878929482422013,2.7781024944725567,0.0,0.0
4,0,80,0,5,3,W,1,6,7,0.0,0.575,0.6619565371889621,0.28753263149410485,2.7078519444330595,0.0,0.0
5,1,13,0,4,8,E,5,2,9,0.6923076923076923,0.15384615384615385,0.17660686692509514,0.27718425255555373,2.72315985057503,0.0,0.0
6,1,13,0,2,1,W,8,4,9,0.6923076923076923,0.38461538461538464,0.5502856136657871,0.2886126052874785,2.6772259913671475,0.0,0.0
7,1,15,0,6,1,W,4,3,4,0.26666666666666666,0.06666666666666667,0.3461372418950001,0.2896029770374298,2.6954770709077516,0.0,0.0
8,0,80,0,5,5,E,4,7,3,0.0,0.05,0.32891575698449743,0.29255166705697777,2.7325957868015394,0.0,0.0
9,0,80,0,3,1,S,1,5,6,0.0,0.0375,1.0959322087466716,0.2944568060338497,2.738711319398135,0.0,0.0
10,1,28,0,8,2,W,1,3,10,0.35714285714285715,0.35714285714285715,0.5750753076614014,0.2711683639458248,2.856335575675725,0.0,0.0
11,1,13,0,7,8,S,3,4,8,0.6153846153846154,0.38461538461538464,0.21640067547559738,0.2710010822002704,2.742065228700924,0.0,0.0
12,0,80,0,1,8,S,7,5,13,0.0,0.1,1.007397498935461,0.28266747761517763,2.6369457635155413,0.0,0.0
13,0,80,0,3,7,W,1,4,5,0.0,0.125,0.5331193673890084,0.29727569930255415,2.6635116373654455,0.0,0.0
14,0,80,0,4,8,S,8,3,15,0.0,0.025,0.1003722261681105,0.3220811752602458,2.6212228083750233,0.0,0.0
