trial,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std,mean_ms_per_step,noise_sigma,mask_fraction
0,1,14,0,1,5,S,7,5,10,0.7142857142857143,0.07142857142857142,0.3299697924937521,0.13707462485347474,1.877599208715505,0.0,0.4
1,1,13,0,8,1,S,1,4,10,0.7692307692307693,0.07692307692307693,0.32028238475322723,0.13662116458782783,1.933621851584086,0.0,0.4
2,1,20,0,5,3,S,8,7,13,0.65,0.05,0.27382297702133657,0.13696376383304595,1.825619552982971,0.0,0.4
3,1,23,0,7,5,W,7,1,16,0.6956521739130435,0.043478260869565216,0.24744095232175745,0.1366763121407965,1.875665689231423,0.0,0.4
4,1,11,0,5,3,W,1,6,7,0.6363636363636364,0.09090909090909091,0.3230056261474436,0.136521038683978,1.8939011603255163,0.0,0.4
5,1,19,0,4,8,E,5,2,9,0.47368421052631576,0.05263157894736842,0.2736800885514209,0.1372401502571608,1.8546497908812996,0.0,0.4
6,1,13,0,2,1,W,8,4,9,0.6923076923076923,0.07692307692307693,0.28699228167533875,0.13685931379978472,1.8975786067760334,0.0,0.4
7,1,7,0,6,1,W,4,3,4,0.5714285714285714,0.14285714285714285,0.35122361140591757,0.13659486387457168,1.841601125696408,0.0,0.4
8,0,80,0,5,5,E,4,7,3,0.0,0.0125,0.3557866677641869,0.13768894616514443,1.8661396119568963,0.0,0.4
9,1,11,0,3,1,S,1,5,6,0.5454545454545454,0.09090909090909091,0.33507564799352124,0.13666159320961346,1.8524472675794228,0.0,0.4
10,1,12,0,8,2,W,1,3,10,0.8333333333333334,0.08333333333333333,0.3545287251472473,0.13649388154347739,1.8604514189064503,0.0,0.4
11,1,11,0,7,8,S,3,4,8,0.7272727272727273,0.09090909090909091,0.3031124906106429,0.1366113695231351,1.8645234628241847,0.0,0.4
12,1,19,0,1,8,S,7,5,13,0.6842105263157895,0.05263157894736842,0.2784935651641143,0.1370285490625783,1.8439271646600806,0.0,0.4
13,1,9,0,3,7,W,1,4,5,0.5555555555555556,0.1111111111111111,0.38545210162798565,0.13590392139222887,1.8656896750649645,0.0,0.4
14,1,22,0,4,8,S,8,3,15,0.6818181818181818,0.09090909090909091,0.24730730734088205,0.13712509789250113,1.8658029042523017,0.0,0.4
15,1,14,0,2,1,E,3,8,10,0.7142857142857143,0.07142857142857142,0.3543891917381968,0.1367846674152783,1.862947579606303,0.0,0.4
16,1,9,0,5,2,S,1,2,6,0.6666666666666666,0.1111111111111111,0.664773240685463,0.13786929845809937,1.9100698927003477,0.0,0.4
17,0,80,0,1,7,S,7,2,13,0.0,0.0125,0.35523985102772715,0.13770134579390286,1.8684531278267968,0.0,0.4
18,0,80,0,8,4,E,7,2,3,0.0,0.0125,0.3600497478619218,0.13814183063805102,1.8726862726907711,0.0,0.4
19,1,17,0,8,7,E,4,3,12,0.7058823529411765,0.0,0.24599412434241352,0.13722554112181945,1.8467599464416065,0.0,0.4
20,1,19,0,8,3,N,3,8,14,0.7368421052631579,0.05263157894736842,0.28773397834677444,0.136740569221346,1.8790684683297418,0.0,0.4
21,1,32,0,5,1,N,7,6,15,0.46875,0.03125,0.3548268903978169,0.13680305052548647,2.0341385334177176,0.0,0.4
22,1,12,0,4,8,S,1,6,7,0.5833333333333334,0.16666666666666666,0.2771052767833074,0.13690368955334029,1.8507493320309247,0.0,0.4
23,1,16,0,5,1,N,3,6,7,0.4375,0.0625,0.39648164343088865,0.1366241779178381,1.8865619313146453,0.0,0.4
24,0,80,0,8,6,N,4,7,7,0.0,0.0,0.3545289235189557,0.13747339360415936,1.8304481091035996,0.0,0.4
