trial,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std,mean_ms_per_step,noise_sigma,mask_fraction
0,1,16,0,1,5,S,7,5,10,0.625,0.0625,0.26015739142894745,0.13667005579918623,1.9212380721000955,0.05,0.0
1,1,13,0,8,1,S,1,4,10,0.7692307692307693,0.07692307692307693,0.385707384118667,0.13645874307705805,1.8609171473564436,0.05,0.0
2,1,18,0,5,3,S,8,7,13,0.7222222222222222,0.1111111111111111,0.2725207424826092,0.13684104631344476,1.85329277236532,0.05,0.0
3,1,23,0,7,5,W,7,1,16,0.6956521739130435,0.043478260869565216,0.2443482571321985,0.1366242941306985,1.8582966067301838,0.05,0.0
4,1,13,0,5,3,W,1,6,7,0.5384615384615384,0.07692307692307693,0.3313312496130283,0.1366358743264125,1.876588377994127,0.05,0.0
5,1,19,0,4,8,E,5,2,9,0.47368421052631576,0.05263157894736842,0.2649776355216378,0.13702948783573352,1.9228956845932101,0.05,0.0
6,1,13,0,2,1,W,8,4,9,0.6923076923076923,0.07692307692307693,0.28160172357009006,0.13673451657478625,1.8546903917852502,0.05,0.0
7,1,9,0,6,1,W,4,3,4,0.4444444444444444,0.1111111111111111,0.36348498198721146,0.13697392410702175,1.8837006581533287,0.05,0.0
8,0,80,0,5,5,E,4,7,3,0.0,0.0125,0.3145016819238663,0.13735494650900365,1.864482503151521,0.05,0.0
9,1,11,0,3,1,S,1,5,6,0.5454545454545454,0.09090909090909091,0.35478838736360724,0.13653899729251862,1.9076661767692051,0.05,0.0
10,1,12,0,8,2,W,1,3,10,0.8333333333333334,0.08333333333333333,0.3841547618309657,0.13656549528241158,1.8640774117860321,0.05,0.0
11,1,11,0,7,8,S,3,4,8,0.7272727272727273,0.09090909090909091,0.298837809400125,0.13662191954526035,1.8385553584349426,0.05,0.0
12,1,19,0,1,8,S,7,5,13,0.6842105263157895,0.05263157894736842,0.2637790167017987,0.13692254298611692,1.8461477317798294,0.05,0.0
13,1,9,0,3,7,W,1,4,5,0.5555555555555556,0.1111111111111111,0.37435977657636005,0.13587282763587105,1.9195527743755116,0.05,0.0
14,1,24,0,4,8,S,8,3,15,0.625,0.08333333333333333,0.24931749639411768,0.13686491549015045,1.9231543701607734,0.05,0.0
15,1,14,0,2,1,E,3,8,10,0.7142857142857143,0.07142857142857142,0.35708843384470257,0.13668794184923172,1.8586672834187214,0.05,0.0
16,1,9,0,5,2,S,1,2,6,0.6666666666666666,0.2222222222222222,0.6842184679375755,0.13776185115178427,2.0542993249061205,0.05,0.0
17,0,80,0,1,7,S,7,2,13,0.0,0.0125,0.3853110857307911,0.13765748720616103,1.9312820739287417,0.05,0.0
18,0,80,0,8,4,E,7,2,3,0.0,0.0125,0.3813985647633672,0.1380969725549221,1.9108841348497663,0.05,0.0
19,1,17,0,8,7,E,4,3,12,0.7058823529411765,0.0,0.24442152240697076,0.13706798237912796,1.9297559457995437,0.05,0.0
20,1,19,0,8,3,N,3,8,14,0.7368421052631579,0.05263157894736842,0.31562922071469457,0.13667436885206322,1.886832052964325,0.05,0.0
21,1,26,0,5,1,N,7,6,15,0.5769230769230769,0.038461538461538464,0.33723507764247745,0.13634359550017577,1.9074153410306631,0.05,0.0
22,1,12,0,4,8,S,1,6,7,0.5833333333333334,0.16666666666666666,0.2952098486324151,0.13680204873283705,1.9164641610890005,0.05,0.0
23,1,14,0,5,1,N,3,6,7,0.5,0.07142857142857142,0.3714374357036182,0.136463391993727,1.9646363507490605,0.05,0.0
24,0,80,0,8,6,N,4,7,7,0.0,0.0,0.31272037476301195,0.13729915544390678,1.8949132609122898,0.05,0.0
