trial,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std,mean_ms_per_step,noise_sigma,mask_fraction
0,1,20,0,1,5,S,7,5,10,0.5,0.1,0.33057945743203165,0.13711094856262207,2.1223919524345547,0.1,0.4
1,1,13,0,8,1,S,1,4,10,0.7692307692307693,0.07692307692307693,0.3314711142044801,0.13673635400258577,1.959586619005467,0.1,0.4
2,1,18,0,5,3,S,8,7,13,0.7222222222222222,0.1111111111111111,0.32232311367988586,0.1371930225027932,2.006485670184096,0.1,0.4
3,1,23,0,7,5,W,7,1,16,0.6956521739130435,0.043478260869565216,0.26620157063007355,0.1366657115842985,1.9647559636960858,0.1,0.4
4,1,13,0,5,3,W,1,6,7,0.5384615384615384,0.07692307692307693,0.3668525516986847,0.1370907506117454,1.9323701540438027,0.1,0.4
5,1,17,0,4,8,E,5,2,9,0.5294117647058824,0.058823529411764705,0.30235974665950327,0.13725978223716512,1.9654982332961963,0.1,0.4
6,1,13,0,2,1,W,8,4,9,0.6923076923076923,0.07692307692307693,0.2955032495351938,0.1369808935202085,1.9356310770560343,0.1,0.4
7,1,7,0,6,1,W,4,3,4,0.5714285714285714,0.14285714285714285,0.38723755308559965,0.13685905933380127,1.9260089777942215,0.1,0.4
8,0,80,0,5,5,E,4,7,3,0.0,0.0125,0.4106710761785507,0.13784681297838688,1.9921669852919877,0.1,0.4
9,1,9,0,3,1,S,1,5,6,0.6666666666666666,0.1111111111111111,0.4285761879550086,0.13680870003170437,2.0527165486580796,0.1,0.4
10,1,12,0,8,2,W,1,3,10,0.8333333333333334,0.08333333333333333,0.37119590987761814,0.1366619144876798,1.991578406887129,0.1,0.4
11,1,11,0,7,8,S,3,4,8,0.7272727272727273,0.09090909090909091,0.33683183789253235,0.13646017014980316,1.9591072817671706,0.1,0.4
12,1,19,0,1,8,S,7,5,13,0.6842105263157895,0.05263157894736842,0.2741336273519616,0.13706717914656588,1.9597571625031138,0.1,0.4
13,1,13,0,3,7,W,1,4,5,0.38461538461538464,0.07692307692307693,0.4019000587555078,0.13612694694445684,1.9256601539941935,0.1,0.4
14,1,22,0,4,8,S,8,3,15,0.6818181818181818,0.09090909090909091,0.26713059707121417,0.13716815886172382,1.960393226578493,0.1,0.4
15,1,14,0,2,1,E,3,8,10,0.7142857142857143,0.07142857142857142,0.40982257574796677,0.137011214026383,1.913003802266238,0.1,0.4
16,1,11,0,5,2,S,1,2,6,0.5454545454545454,0.18181818181818182,0.47438092123378406,0.13896930353208023,1.9859451779418371,0.1,0.4
17,0,80,0,1,7,S,7,2,13,0.0,0.0125,0.40439253821969035,0.13847776968032122,1.9506360156810842,0.1,0.4
18,0,80,0,8,4,E,7,2,3,0.0,0.025,0.4343391228467226,0.1386840868741274,1.9608807480835821,0.1,0.4
19,1,17,0,8,7,E,4,3,12,0.7058823529411765,0.058823529411764705,0.27368081580190096,0.1374771691420499,2.013445883194971,0.1,0.4
20,1,19,0,8,3,N,3,8,14,0.7368421052631579,0.05263157894736842,0.3158474768462934,0.13685063704064018,1.9487405324501819,0.1,0.4
21,1,24,0,5,1,N,7,6,15,0.625,0.08333333333333333,0.37870344457527,0.1363630803922812,1.9710304598750856,0.1,0.4
22,1,12,0,4,8,S,1,6,7,0.5833333333333334,0.16666666666666666,0.32711396118005115,0.13701890781521797,1.9842334925973166,0.1,0.4
23,1,14,0,5,1,N,3,6,7,0.5,0.07142857142857142,0.41894341579505373,0.13642119296959468,1.9355125675377036,0.1,0.4
24,0,80,0,8,6,N,4,7,7,0.0,0.0,0.42383164130151274,0.13786486629396677,1.9595276738982648,0.1,0.4
