trial,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std,mean_ms_per_step,noise_sigma,mask_fraction
0,0,80,0,1,5,S,7,5,10,0.0,0.0125,0.11244568200781942,0.13721546102315188,1.7820136505179107,0.0,0.0
1,1,13,0,8,1,S,1,4,10,0.7692307692307693,0.07692307692307693,0.035178651460088216,0.13739944535952348,1.8106173867216477,0.0,0.0
2,1,18,0,5,3,S,8,7,13,0.7222222222222222,0.0,0.05155948676272399,0.14156595286395815,1.8199458847650223,0.0,0.0
3,0,80,0,7,5,W,7,1,16,0.0,0.0,0.13311112604569644,0.13801211267709732,1.7900793987791985,0.0,0.0
4,0,80,0,5,3,W,1,6,7,0.0,0.0,0.1667106920853257,0.1359476763755083,1.7876751779112965,0.0,0.0
5,0,80,0,4,8,E,5,2,9,0.0,0.0,0.03040791814564727,0.1492013419046998,1.825931595521979,0.0,0.0
6,1,11,0,2,1,W,8,4,9,0.8181818181818182,0.0,0.03632144562222741,0.13969110087914902,2.078322460874915,0.0,0.0
7,1,13,0,6,1,W,4,3,4,0.3076923076923077,0.0,0.05213663669732901,0.14317286014556885,1.8306726213687887,0.0,0.0
8,1,7,0,5,5,E,4,7,3,0.42857142857142855,0.0,0.05432984871523721,0.13924294710159302,1.8382509837725334,0.0,0.0
9,1,9,0,3,1,S,1,5,6,0.6666666666666666,0.1111111111111111,0.08757518914838631,0.13707814613978067,1.8023224418155022,0.0,0.0
10,1,12,0,8,2,W,1,3,10,0.8333333333333334,0.0,0.03607803536579013,0.1383244233826796,1.7595680061882983,0.0,0.0
11,1,11,0,7,8,S,3,4,8,0.7272727272727273,0.0,0.047187246212905105,0.14030359549955887,1.7685003695078194,0.0,0.0
12,0,80,0,1,8,S,7,5,13,0.0,0.0125,0.0211587566009257,0.13826664481312037,1.7982604585995432,0.0,0.0
13,1,7,0,3,7,W,1,4,5,0.7142857142857143,0.0,0.03613034343080861,0.137288076536996,1.8184961268811353,0.0,0.0
14,1,22,0,4,8,S,8,3,15,0.6818181818181818,0.0,0.03336191617629745,0.14078466526486658,1.876525729047981,0.0,0.0
15,1,14,0,2,1,E,3,8,10,0.7142857142857143,0.0,0.05033971096522042,0.1383850457412856,1.8069321356181587,0.0,0.0
16,0,80,78,5,2,S,1,2,6,0.0,0.9,1.1605244326405226,0.1357066271826625,1.9277652601886075,0.0,0.0
17,1,18,0,1,7,S,7,2,13,0.7222222222222222,0.0,0.07656737468722793,0.13844282014502418,1.82252993949482,0.0,0.0
18,1,9,0,8,4,E,7,2,3,0.3333333333333333,0.1111111111111111,0.04067318389813105,0.14519882533285353,1.8415190990910761,0.0,0.0
19,0,80,0,8,7,E,4,3,12,0.0,0.0,0.11258485722355545,0.1353352814912796,1.8422560489852913,0.0,0.0
20,0,80,0,8,3,N,3,8,14,0.0,0.0125,0.046366755466442554,0.13848226312547923,1.8205284519353881,0.0,0.0
21,0,80,38,5,1,N,7,6,15,0.0,0.0,0.057932508731028065,0.14331282768398523,1.907416235189885,0.0,0.0
22,1,12,0,4,8,S,1,6,7,0.5833333333333334,0.0,0.03382671857252717,0.13847596074144045,1.7824528282896306,0.0,0.0
23,1,10,0,5,1,N,3,6,7,0.7,0.0,0.053698841482400894,0.14043558835983277,2.0065873104613274,0.0,0.0
24,1,10,0,8,6,N,4,7,7,0.7,0.0,0.030544579774141312,0.1383719563484192,1.862944709137082,0.0,0.0
25,1,20,0,7,8,S,6,1,14,0.7,0.0,0.04188954127021134,0.14087688326835632,1.73834101005923,0.0,0.0
26,1,5,0,1,5,W,3,6,3,0.6,0.0,0.08240673393011093,0.1384886771440506,1.815522403921932,0.0,0.0
27,1,8,0,7,8,W,4,7,4,0.5,0.125,0.0847975016804412,0.13703453354537487,1.8116377395926975,0.0,0.0
28,1,21,0,7,8,W,4,1,14,0.6666666666666666,0.047619047619047616,0.05224559376282351,0.14069379653249467,1.7658255639530362,0.0,0.0
29,1,11,0,3,4,S,3,1,7,0.6363636363636364,0.09090909090909091,0.06313777054575356,0.1446187902580608,1.8000813751396807,0.0,0.0
30,1,13,0,6,1,W,1,7,11,0.8461538461538461,0.0,0.034371196650541745,0.13613901688502386,1.8752422273302307,0.0,0.0
31,0,80,0,2,1,N,7,7,15,0.0,0.0,0.09076227098703385,0.13667747285217047,1.8724012101301923,0.0,0.0
32,1,17,0,7,6,E,6,3,14,0.8235294117647058,0.0,0.029875935712719664,0.14236395762247198,1.8398764625410824,0.0,0.0
33,1,9,0,6,8,W,3,4,7,0.7777777777777778,0.0,0.0346343159261677,0.14050922791163126,1.8094464321620762,0.0,0.0
34,1,5,0,5,6,S,4,8,3,0.6,0.2,0.2214223861694336,0.1436620533466339,1.868070987984538,0.0,0.0
35,1,17,0,5,6,N,1,2,10,0.5882352941176471,0.0,0.0779341267531409,0.13997108182486365,1.8626614713438732,0.0,0.0
36,0,80,0,3,3,E,1,6,5,0.0,0.0125,0.10252607204020023,0.13595446888357401,1.8048080506559927,0.0,0.0
37,0,80,0,6,5,E,6,3,12,0.0,0.0,0.1296135205309838,0.13771588280797004,1.7955741779587697,0.0,0.0
38,0,80,6,8,1,N,5,6,14,0.0,0.0,0.10413525506155566,0.1371110560372472,1.7980011631152593,0.0,0.0
39,0,80,0,7,5,S,5,6,3,0.0,0.0125,0.03954677938017994,0.14987626150250435,1.7988261381105985,0.0,0.0
40,0,80,0,1,5,W,5,6,7,0.0,0.0,0.1507424013921991,0.13571137860417365,1.8280721698829439,0.0,0.0
41,1,9,0,3,5,N,5,8,5,0.5555555555555556,0.0,0.061000129104488425,0.13878909912374285,1.765291006045623,0.0,0.0
42,1,12,0,8,8,E,2,5,9,0.75,0.0,0.02805868148182829,0.14138682931661606,1.914569167032217,0.0,0.0
43,1,16,0,4,3,W,8,8,11,0.6875,0.0,0.038272733974736184,0.13882516231387854,1.792457373085199,0.0,0.0
44,1,4,0,1,2,W,3,1,3,0.75,0.0,0.06398127321153879,0.14178406819701195,1.8186309898737818,0.0,0.0
45,1,12,0,1,3,E,8,1,9,0.75,0.0,0.048734775433937706,0.13829756528139114,1.7974802564519148,0.0,0.0
46,0,80,70,8,4,E,3,5,12,0.0,0.0125,0.23435426364885642,0.15745859444141388,1.799772547383327,0.0,0.0
47,0,80,0,6,3,S,1,6,8,0.0,0.0125,0.16152285278658382,0.13660587929189205,1.8244534017867409,0.0,0.0
48,0,80,20,5,2,W,7,6,14,0.0,0.0375,0.10385953959776088,0.14122764356434345,1.8267730993102305,0.0,0.0
49,1,10,0,7,7,N,3,6,7,0.7,0.1,0.03723021950572729,0.1421542286872864,1.7524138907901943,0.0,0.0
50,1,10,0,3,7,N,1,2,7,0.7,0.0,0.03132887808606029,0.13848458975553513,1.8111156183294952,0.0,0.0
51,0,80,0,1,5,S,7,5,10,0.0,0.0125,0.11242340144235641,0.13721895199269057,1.8494199925044086,0.0,0.0
52,1,17,0,7,1,W,1,8,13,0.7647058823529411,0.058823529411764705,0.07001119704150102,0.1369127061437158,1.7846238778849297,0.0,0.0
53,0,80,37,5,2,N,8,6,15,0.0,0.0,0.0628955309628509,0.14322003591805696,1.9117340612865519,0.0,0.0
54,1,21,5,5,2,E,6,8,11,0.5238095238095238,0.0,0.04247192552845393,0.1422246162380491,1.8830290008779793,0.0,0.0
55,1,13,0,4,8,E,1,8,9,0.6923076923076923,0.0,0.044815607655506864,0.13871993582982284,1.8278306188921516,0.0,0.0
56,1,11,0,3,1,S,3,5,8,0.7272727272727273,0.09090909090909091,0.04198014016517184,0.14021629230542618,1.7575351838869127,0.0,0.0
57,1,25,6,6,1,E,5,8,12,0.48,0.04,0.04650192566215992,0.1426504796743393,1.7703408421948552,0.0,0.0
58,1,16,0,8,7,E,1,4,12,0.75,0.0,0.02862014842685312,0.1404736451804638,1.8431579374009743,0.0,0.0
59,1,7,0,1,6,W,3,7,5,0.7142857142857143,0.0,0.03709671806011881,0.13752933272293635,1.954107719939202,0.0,0.0
60,1,20,0,3,8,E,8,3,14,0.7,0.0,0.04446162739768624,0.14195780381560325,1.8313694978132844,0.0,0.0
61,0,80,0,3,3,W,7,5,10,0.0,0.0,0.09655201905407011,0.1382416592910886,1.794034977501724,0.0,0.0
62,0,80,0,3,3,E,7,6,11,0.0,0.0125,0.09711233621928841,0.13749297801405191,1.8063654599245638,0.0,0.0
63,0,80,23,7,1,E,7,6,17,0.0,0.0,0.0691116745583713,0.14126816261559724,1.801717475609621,0.0,0.0
64,1,13,0,7,2,N,3,4,8,0.6153846153846154,0.07692307692307693,0.055551698144811854,0.14260855890237367,1.818654767703265,0.0,0.0
65,0,80,0,1,5,W,4,8,6,0.0,0.0,0.1789294040761888,0.1382084134966135,1.7976545146666467,0.0,0.0
66,0,80,0,1,6,S,4,8,7,0.0,0.0125,0.17424595253542066,0.13835353255271912,1.8267180596012622,0.0,0.0
67,1,20,0,2,5,E,7,1,9,0.45,0.0,0.10246627833694219,0.13917021825909615,1.7744208947988227,0.0,0.0
68,1,11,0,7,7,S,5,7,4,0.36363636363636365,0.0,0.06405093944208189,0.13783664188601755,1.8024177353998476,0.0,0.0
69,0,80,0,1,8,W,4,8,9,0.0,0.0,0.1658553194720298,0.13803655374795198,1.793678784451913,0.0,0.0
70,0,80,0,1,1,E,7,5,14,0.0,0.0,0.10479334499686957,0.1370282292366028,1.825220823957352,0.0,0.0
71,1,8,0,7,1,E,6,3,5,0.625,0.0,0.04945931117981672,0.1374837774783373,1.842917627072893,0.0,0.0
72,1,11,0,3,5,N,6,1,7,0.6363636363636364,0.0,0.042860849845138466,0.14068004488945007,1.8178018296814777,0.0,0.0
73,1,18,2,5,7,S,1,5,6,0.3333333333333333,0.05555555555555555,0.06263605882931086,0.1397758714026875,1.8416042213276442,0.0,0.0
74,1,10,0,6,1,W,1,4,8,0.8,0.0,0.03784982711076736,0.13637609481811525,1.7758877074811608,0.0,0.0
75,0,80,0,4,3,N,7,6,12,0.0,0.0,0.09692221342120319,0.13806940596550704,1.8374238024989609,0.0,0.0
76,0,80,0,2,1,N,5,2,4,0.0,0.0,0.04468919762875885,0.13891291841864586,1.7984480393351987,0.0,0.0
77,1,8,0,3,6,N,6,3,6,0.75,0.0,0.03981579258106649,0.1447928175330162,1.7430973748560064,0.0,0.0
78,1,15,0,6,5,N,1,5,9,0.6,0.0,0.04043308695157369,0.1414227892955144,1.7689804003263514,0.0,0.0
