trial,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std,mean_ms_per_step,noise_sigma,mask_fraction
0,0,80,0,1,5,S,7,5,10,0.0,0.0,0.22530417111411224,0.42498335167765616,2.168150471698027,0.0,0.4
1,1,13,0,8,1,S,1,4,10,0.7692307692307693,0.15384615384615385,0.0009586818517933493,0.4013936152824989,2.3478758387052667,0.0,0.4
2,0,80,6,5,3,S,8,7,13,0.0,0.0,0.005965105257450887,0.43235969766974447,2.0176707992504817,0.0,0.4
3,1,23,0,7,5,W,7,1,16,0.6956521739130435,0.0,0.0018556769916714352,0.40008197271305584,2.0026639610043038,0.0,0.4
4,1,13,0,5,3,W,1,6,7,0.5384615384615384,0.07692307692307693,0.008688495734531898,0.3930543913291051,2.0014854649511666,0.0,0.4
5,1,13,0,4,8,E,5,2,9,0.6923076923076923,0.07692307692307693,0.0028421401153676785,0.4076380362877479,1.973849694387844,0.0,0.4
6,1,11,0,2,1,W,8,4,9,0.8181818181818182,0.0,0.006392052379603477,0.4029784175482663,1.940084907056933,0.0,0.4
7,1,11,0,6,1,W,4,3,4,0.36363636363636365,0.09090909090909091,0.0015454841605705124,0.40606437758965924,1.9810881719670512,0.0,0.4
8,1,6,0,5,5,E,4,7,3,0.5,0.0,0.012462943956052186,0.3911177118619283,1.9936966709792614,0.0,0.4
9,1,9,0,3,1,S,1,5,6,0.6666666666666666,0.0,0.011961270117252652,0.404714349243376,2.0660323336616986,0.0,0.4
10,1,12,0,8,2,W,1,3,10,0.8333333333333334,0.0,0.0015601018734135625,0.40069619317849475,1.976323503185995,0.0,0.4
11,1,11,0,7,8,S,3,4,8,0.7272727272727273,0.09090909090909091,0.004465044154792188,0.4034287306395444,2.049455916593698,0.0,0.4
12,1,21,0,1,8,S,7,5,13,0.6190476190476191,0.14285714285714285,0.08331908059266252,0.4039378450030372,2.0134730425308502,0.0,0.4
13,1,9,0,3,7,W,1,4,5,0.5555555555555556,0.3333333333333333,0.295823631589883,0.3927767707241906,2.040035886845241,0.0,0.4
14,1,22,0,4,8,S,8,3,15,0.6818181818181818,0.09090909090909091,0.01993771247337215,0.39995133876800537,2.048364001728425,0.0,0.4
15,1,14,0,2,1,E,3,8,10,0.7142857142857143,0.0,0.006288772828286581,0.40685045293399263,1.9772419805771537,0.0,0.4
16,1,13,0,5,2,S,1,2,6,0.46153846153846156,0.07692307692307693,0.005512373128952346,0.4045654764542213,1.9831441548796227,0.0,0.4
17,1,18,0,1,7,S,7,2,13,0.7222222222222222,0.05555555555555555,0.007694807945073181,0.3989467653963301,2.0347550614840455,0.0,0.4
18,1,6,0,8,4,E,7,2,3,0.5,0.0,0.0008024857852433342,0.41187627613544464,1.9916710249769192,0.0,0.4
19,1,17,0,8,7,E,4,3,12,0.7058823529411765,0.058823529411764705,0.004113121066278408,0.40291472918847027,2.0294066395281867,0.0,0.4
20,1,19,0,8,3,N,3,8,14,0.7368421052631579,0.10526315789473684,0.005267347031660488,0.4029969557335502,2.0184597876658175,0.0,0.4
21,0,80,12,5,1,N,7,6,15,0.0,0.0125,0.004983520289488297,0.43075704760849476,1.9821715162834153,0.0,0.4
22,1,12,0,4,8,S,1,6,7,0.5833333333333334,0.16666666666666666,0.0323859151412762,0.3918665299812953,1.9675582540609564,0.0,0.4
23,1,14,0,5,1,N,3,6,7,0.5,0.07142857142857142,0.018439612513637776,0.40085375734737944,2.0313340771411146,0.0,0.4
24,1,15,0,8,6,N,4,7,7,0.4666666666666667,0.06666666666666667,0.02934333559242077,0.4032667378584544,2.1008910650076964,0.0,0.4
