trial,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std,mean_ms_per_step,noise_sigma,mask_fraction
0,1,14,0,1,5,S,7,5,10,0.7142857142857143,0.0,0.0046579418958572205,0.40118821816784994,2.058941434370354,0.1,0.4
1,1,13,0,8,1,S,1,4,10,0.7692307692307693,0.07692307692307693,0.09427090837100248,0.4033636748790741,2.1069402349754593,0.1,0.4
2,0,80,0,5,3,S,8,7,13,0.0,0.0,0.00812551352337323,0.4309596922248602,2.120064110204112,0.1,0.4
3,1,23,0,7,5,W,7,1,16,0.6956521739130435,0.0,0.0023540056629470832,0.40479076686112775,2.077409177613647,0.1,0.4
4,1,13,0,5,3,W,1,6,7,0.5384615384615384,0.07692307692307693,0.0022960988798541413,0.4117183226805467,2.12152621959551,0.1,0.4
5,1,13,0,4,8,E,5,2,9,0.6923076923076923,0.07692307692307693,0.0016361856480496218,0.40906798381071824,2.0824796072422314,0.1,0.4
6,1,11,0,2,1,W,8,4,9,0.8181818181818182,0.0,0.004233999369634231,0.40600906718860974,2.0553672749718483,0.1,0.4
7,1,9,0,6,1,W,4,3,4,0.4444444444444444,0.1111111111111111,0.001905151063611912,0.4058844612704383,2.2421327820565136,0.1,0.4
8,1,6,0,5,5,E,4,7,3,0.5,0.16666666666666666,0.013618007171317004,0.38881316781044006,2.365728326064224,0.1,0.4
9,1,9,0,3,1,S,1,5,6,0.6666666666666666,0.1111111111111111,0.012626920445957998,0.40746980243259007,2.0592265451947847,0.1,0.4
10,1,12,0,8,2,W,1,3,10,0.8333333333333334,0.08333333333333333,0.04034842422364212,0.4042351593573888,2.2086266690166667,0.1,0.4
11,1,11,0,7,8,S,3,4,8,0.7272727272727273,0.09090909090909091,0.0029399465986650534,0.4007646414366635,2.125062175433744,0.1,0.4
12,1,19,0,1,8,S,7,5,13,0.6842105263157895,0.05263157894736842,0.0016369920855427871,0.4023028768991169,2.1105069440397384,0.1,0.4
13,1,7,0,3,7,W,1,4,5,0.7142857142857143,0.0,0.017656658362414288,0.39256414771080017,2.085515855079783,0.1,0.4
14,1,22,0,4,8,S,8,3,15,0.6818181818181818,0.13636363636363635,0.08570030465786906,0.4059878655455329,2.0791099946522578,0.1,0.4
15,1,14,0,2,1,E,3,8,10,0.7142857142857143,0.07142857142857142,0.0059785799302127475,0.4068251656634467,2.075139503826254,0.1,0.4
16,1,11,0,5,2,S,1,2,6,0.5454545454545454,0.09090909090909091,0.0056634901838234246,0.41176658868789673,2.0118307385762986,0.1,0.4
17,1,16,0,1,7,S,7,2,13,0.8125,0.0625,0.04215165729431192,0.39611109159886837,2.075333624816267,0.1,0.4
18,1,6,0,8,4,E,7,2,3,0.5,0.0,0.0008456846383827118,0.41682980954647064,2.0954551776715866,0.1,0.4
19,1,15,0,8,7,E,4,3,12,0.8,0.13333333333333333,0.025796273391461,0.4055255472660065,2.125740194848428,0.1,0.4
20,1,19,0,8,3,N,3,8,14,0.7368421052631579,0.10526315789473684,0.004479624623950497,0.4052113796535291,2.1751541062258184,0.1,0.4
21,0,80,12,5,1,N,7,6,15,0.0,0.0125,0.0069510519109826415,0.4304388914257288,2.1220353126409464,0.1,0.4
22,1,12,0,4,8,S,1,6,7,0.5833333333333334,0.25,0.06342837388547196,0.40008509407440823,2.088389247849894,0.1,0.4
23,1,14,0,5,1,N,3,6,7,0.5,0.21428571428571427,0.06515254751697544,0.40354617152895245,2.3123799349247878,0.1,0.4
24,1,13,0,8,6,N,4,7,7,0.5384615384615384,0.07692307692307693,0.0026998005296963337,0.40352279864824736,2.1590739981128046,0.1,0.4
