trial,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std,mean_ms_per_step,noise_sigma,mask_fraction
0,0,80,0,1,5,S,7,5,10,0.0,0.0,0.2828859671106329,0.418327022343874,1.860460236639483,0.1,0.0
1,1,13,0,8,1,S,1,4,10,0.7692307692307693,0.07692307692307693,0.00044984185744676954,0.40247063682629514,1.8642046220170765,0.1,0.0
2,0,80,13,5,3,S,8,7,13,0.0,0.0,0.006658351587748257,0.43162764646112917,2.120448114874307,0.1,0.0
3,1,23,0,7,5,W,7,1,16,0.6956521739130435,0.0,0.0011509040006548394,0.39736849458321283,2.0470918718037074,0.1,0.0
4,1,13,0,5,3,W,1,6,7,0.5384615384615384,0.0,0.0008813084879455765,0.40990079595492435,1.9311231578915165,0.1,0.0
5,1,13,0,4,8,E,5,2,9,0.6923076923076923,0.07692307692307693,0.0002944189593388448,0.4044448137283325,1.9959678443578572,0.1,0.0
6,1,11,0,2,1,W,8,4,9,0.8181818181818182,0.0,0.002764973003650084,0.3947506167671897,1.958948544184254,0.1,0.0
7,1,9,0,6,1,W,4,3,4,0.4444444444444444,0.1111111111111111,0.0014781241423204644,0.4032023582193587,1.9829448946337733,0.1,0.0
8,1,6,0,5,5,E,4,7,3,0.5,0.0,0.02796595548109811,0.3865126669406891,1.8922755067857604,0.1,0.0
9,1,9,0,3,1,S,1,5,6,0.6666666666666666,0.1111111111111111,0.001980407580655689,0.4070941176679399,1.9234866615281336,0.1,0.0
10,1,12,0,8,2,W,1,3,10,0.8333333333333334,0.0,0.00035325805295845686,0.40130557864904404,1.929238753897759,0.1,0.0
11,1,11,0,7,8,S,3,4,8,0.7272727272727273,0.09090909090909091,0.0014148074695351004,0.3970666798678311,1.9562880095856434,0.1,0.0
12,1,23,0,1,8,S,7,5,13,0.5652173913043478,0.043478260869565216,0.036710069012769964,0.40493844125581824,1.961542478175429,0.1,0.0
13,1,7,0,3,7,W,1,4,5,0.7142857142857143,0.0,0.001221194160669776,0.38330306325639996,1.898062149328845,0.1,0.0
14,1,22,0,4,8,S,8,3,15,0.6818181818181818,0.09090909090909091,0.014026789076441755,0.3969013298099691,1.925110364523293,0.1,0.0
15,1,14,0,2,1,E,3,8,10,0.7142857142857143,0.0,0.002438592310811925,0.4027467838355473,1.9099501493786062,0.1,0.0
16,1,13,0,5,2,S,1,2,6,0.46153846153846156,0.07692307692307693,0.004236484383000061,0.40993876411364627,1.924563678375517,0.1,0.0
17,1,16,0,1,7,S,7,2,13,0.8125,0.0625,0.004246321214395721,0.3965181428939104,1.9199151247448754,0.1,0.0
18,1,6,0,8,4,E,7,2,3,0.5,0.0,0.0004322527153514481,0.4117700010538101,1.9295473272601764,0.1,0.0
19,1,15,0,8,7,E,4,3,12,0.8,0.13333333333333333,0.014384806671296246,0.40488605896631874,1.9408428032572071,0.1,0.0
20,1,19,0,8,3,N,3,8,14,0.7368421052631579,0.10526315789473684,0.0034127998375257256,0.40463954680844355,1.9332206360750686,0.1,0.0
21,0,80,13,5,1,N,7,6,15,0.0,0.0125,0.00799886457896264,0.4309856228530407,1.939813673379831,0.1,0.0
22,1,12,0,4,8,S,1,6,7,0.5833333333333334,0.16666666666666666,0.021780838917644967,0.38632722695668537,1.9426599174039438,0.1,0.0
23,1,12,0,5,1,N,3,6,7,0.5833333333333334,0.08333333333333333,0.00299125328486601,0.40740974992513657,1.9352044037077576,0.1,0.0
24,1,15,0,8,6,N,4,7,7,0.4666666666666667,0.06666666666666667,0.005291464900680391,0.3982040087381999,1.9494938082061708,0.1,0.0
