trial,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std,mean_ms_per_step,noise_sigma,mask_fraction
0,0,80,0,1,5,S,7,5,10,0.0,1.0,3.021402618288994,0.5869072385132312,1.845294346276205,0.0,0.0
1,0,80,71,8,1,S,1,4,10,0.0,1.0,1.7304971367120743,0.6045174770057201,1.7354273877572268,0.0,0.0
2,0,80,0,5,3,S,8,7,13,0.0,1.0,3.1264560401439665,0.5686964109539986,1.9606735397246666,0.0,0.0
3,0,80,27,7,5,W,7,1,16,0.0,0.875,2.7711913749575614,0.5824485536664724,1.8135821926989593,0.0,0.0
4,0,80,0,5,3,W,1,6,7,0.0,1.0,2.6670944154262544,0.5372866310179234,1.7258442210732028,0.0,0.0
5,0,80,23,4,8,E,5,2,9,0.0,1.0,2.8252279072999955,0.5916435595601797,1.6645814990624785,0.0,0.0
6,0,80,68,2,1,W,8,4,9,0.0,1.0,2.1929702699184417,0.6161960121244192,1.6615652297332417,0.0,0.0
7,0,80,41,6,1,W,4,3,4,0.0,0.9625,2.4874945536255835,0.6099402382969856,1.7507505799585488,0.0,0.0
8,0,80,3,5,5,E,4,7,3,0.0,0.85,2.955133306980133,0.5955903586000204,1.7999413510551676,0.0,0.0
9,1,35,4,3,1,S,1,5,6,0.17142857142857143,1.0,2.8107401507241385,0.5584185217108045,1.6475527447515301,0.0,0.0
10,0,80,68,8,2,W,1,3,10,0.0,1.0,1.7823721170425415,0.6056820534169673,1.69587373820832,0.0,0.0
11,0,80,0,7,8,S,3,4,8,0.0,0.7375,2.7928019136190416,0.5707901544868946,2.3368471702269744,0.0,0.0
12,0,80,0,1,8,S,7,5,13,0.0,1.0,2.8711087852716446,0.5465018186718226,1.8289454623300117,0.0,0.0
13,0,80,1,3,7,W,1,4,5,0.0,1.0,3.3318184107542037,0.662041376158595,1.7883381398860365,0.0,0.0
14,0,80,33,4,8,S,8,3,15,0.0,1.0,2.7333748400211335,0.5863055791705847,1.7388374901202042,0.0,0.0
15,0,80,10,2,1,E,3,8,10,0.0,0.9875,3.235807567834854,0.6283401869237423,1.7078794335247949,0.0,0.0
16,0,80,0,5,2,S,1,2,6,0.0,1.0,3.36131274998188,0.6726899385452271,1.7233475562534295,0.0,0.0
17,0,80,3,1,7,S,7,2,13,0.0,1.0,3.1559343844652177,0.520454753190279,1.7226605130417738,0.0,0.0
18,0,80,13,8,4,E,7,2,3,0.0,1.0,2.819499370455742,0.5779610771685839,1.7240817738638725,0.0,0.0
19,0,80,12,8,7,E,4,3,12,0.0,1.0,3.0650750666856768,0.6751583971083164,1.7022327985614538,0.0,0.0
20,0,80,6,8,3,N,3,8,14,0.0,0.9875,2.9838732302188875,0.5672803450375795,1.7298724240390584,0.0,0.0
21,0,80,0,5,1,N,7,6,15,0.0,0.7625,2.862031215429306,0.5566644985228777,1.7278645507758483,0.0,0.0
22,0,80,10,4,8,S,1,6,7,0.0,1.0,2.940529707074165,0.5993859887123107,1.7131681750470307,0.0,0.0
23,0,80,2,5,1,N,3,6,7,0.0,0.9875,2.891218847036362,0.5754584148526192,1.7433788249036297,0.0,0.0
24,0,80,7,8,6,N,4,7,7,0.0,0.9375,3.1817545711994173,0.6284311089664698,1.7287391958234366,0.0,0.0
25,0,80,0,7,8,S,6,1,14,0.0,0.7375,3.231360077857971,0.6063163243234158,1.7340672340651508,0.0,0.0
26,0,80,1,1,5,W,3,6,3,0.0,1.0,3.2727094858884813,0.6534873828291893,1.708886874257587,0.0,0.0
27,0,80,69,7,8,W,4,7,4,0.0,0.9875,1.4732116855680943,0.6405504055321216,1.6763933352194726,0.0,0.0
28,0,80,0,7,8,W,4,1,14,0.0,0.75,3.243601790070534,0.6061304278671742,1.7300731677096337,0.0,0.0
29,0,80,19,3,4,S,3,1,7,0.0,0.9375,2.716004104912281,0.5723606694489718,1.690905490249861,0.0,0.0
30,0,80,6,6,1,W,1,7,11,0.0,1.0,2.8685676366090775,0.5681309126317501,1.710048914537765,0.0,0.0
31,0,80,11,2,1,N,7,7,15,0.0,0.9625,3.190622720122337,0.6259303741157055,1.7034079261065926,0.0,0.0
32,0,80,4,7,6,E,6,3,14,0.0,0.9625,3.254020592570305,0.6265477545559406,1.738774564000778,0.0,0.0
33,0,80,0,6,8,W,3,4,7,0.0,0.7375,2.6641777038574217,0.5480697534978389,1.6481435355672147,0.0,0.0
34,0,80,14,5,6,S,4,8,3,0.0,1.0,3.116518172621727,0.607040898874402,1.6346503245586064,0.0,0.0
35,0,80,6,5,6,N,1,2,10,0.0,1.0,3.3626786708831786,0.6381653405725956,1.6404269721533637,0.0,0.0
36,0,80,5,3,3,E,1,6,5,0.0,1.0,2.907090151309967,0.5853474095463753,1.6377197738620453,0.0,0.0
37,0,80,0,6,5,E,6,3,12,0.0,1.0,3.1858426719903945,0.6108291342854499,1.7318654521659482,0.0,0.0
38,0,80,0,8,1,N,5,6,14,0.0,1.0,2.9260115891695024,0.5345732472836972,1.8321022784220986,0.0,0.0
39,0,80,74,7,5,S,5,6,3,0.0,1.0,1.3421565636992454,0.64848922342062,1.64570173874381,0.0,0.0
40,0,80,2,1,5,W,5,6,7,0.0,1.0,3.0160463362932206,0.5873174615204334,1.6399528860347345,0.0,0.0
41,0,80,0,3,5,N,5,8,5,0.0,0.95,2.8711518436670302,0.5519815780222416,2.0893461114610545,0.0,0.0
42,0,80,1,8,8,E,2,5,9,0.0,1.0,3.172825363278389,0.6492268331348896,2.1066728397272527,0.0,0.0
43,0,80,0,4,3,W,8,8,11,0.0,1.0,2.7912735998630525,0.539112889021635,1.7628408248128835,0.0,0.0
44,1,63,19,1,2,W,3,1,3,0.047619047619047616,0.9365079365079365,2.6634883161575074,0.5641682261512393,1.7091405553935421,0.0,0.0
45,0,80,26,1,3,E,8,1,9,0.0,0.9375,2.5623029127717016,0.5549337450414896,1.839834488055203,0.0,0.0
46,0,80,10,8,4,E,3,5,12,0.0,1.0,2.7563528209924697,0.5762825593352318,1.8833708520105574,0.0,0.0
47,0,80,1,6,3,S,1,6,8,0.0,1.0,2.6085066944360733,0.5362382076680661,1.6530384993529879,0.0,0.0
48,0,80,79,5,2,W,7,6,14,0.0,1.0,1.5218171402812004,0.644381220638752,1.6464629530673847,0.0,0.0
49,0,80,5,7,7,N,3,6,7,0.0,0.825,3.129018095135689,0.6144065354019403,1.649670353071997,0.0,0.0
50,0,80,19,3,7,N,1,2,7,0.0,1.0,3.0364918798208236,0.5781314589083195,1.6813372494652867,0.0,0.0
51,0,80,0,1,5,S,7,5,10,0.0,1.0,3.0211799502372743,0.587691905349493,2.245862600102555,0.0,0.0
52,0,80,72,7,1,W,1,8,13,0.0,1.0,1.7719617277383803,0.6038892507553101,1.8734979275905062,0.0,0.0
