epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
1,2026-06-18 11:43:57,97.14,0.2,4,3,0.5,0.618531,1.156364,0.570123,0.988008,0.284012,0.64919,1.016571,0.2,0.798509,0.393159,71.311243,15.244813,2.985841,0.184304,0.899528,3.987691,0.230086,0.602073,8.916522,0.540086,0.418041,0.117612,0.594932,3.0,4.0,0.853406,0.517745,0.882983,0.365082,0.672717,0.87157,0.410355,0.2,0.691814,0.653258,198.739655,31.058306,1.184829,0.086096,0.804079,3.005101,0.200185,0.889958,4.97935,0.604557,0.558333,0.158333,0.701042,3.0,4.0
2,2026-06-18 11:44:30,32.93,0.4,4,3,0.5,0.955537,0.223428,0.959365,0.179065,0.88395,0.954545,0.197847,0.4,0.278635,0.979797,259.545515,31.19256,0.406612,0.059142,0.518486,2.222275,0.189553,0.88904,3.213452,0.716563,0.640751,0.317834,0.771986,3.0,4.0,0.983948,0.085581,0.987585,0.062264,0.935986,0.960059,0.088193,0.4,0.054434,1.064892,305.017527,23.073745,0.214586,0.05174,0.320888,1.54529,0.166512,0.753411,2.190946,0.81263,0.804688,0.514844,0.799089,3.0,4.0
3,2026-06-18 11:45:04,33.68,0.6,4,3,0.5,0.992362,0.050753,0.99525,0.03185,0.980384,0.991747,0.047584,0.6,0.048859,1.194177,260.269817,14.995176,0.072066,0.041212,0.265098,1.130834,0.136711,0.522902,1.641717,0.837869,0.895035,0.631708,0.851625,3.0,4.0,0.99469,0.031013,0.997363,0.01487,0.9896,0.996814,0.022937,0.6,0.026663,1.111202,240.193415,8.392115,0.036423,0.034377,0.176801,0.761901,0.101853,0.271644,1.067998,0.89375,0.944141,0.742057,0.883984,3.0,4.0
4,2026-06-18 11:45:39,34.97,0.8,4,3,0.5,0.9979,0.020385,0.998728,0.011046,0.994084,0.997257,0.02025,0.8,0.023938,1.083648,203.490023,5.782907,0.02442,0.032562,0.160203,0.626426,0.092504,0.228948,0.954221,0.897296,0.972917,0.787249,0.904477,3.0,4.0,0.999573,0.01281,0.99939,0.007491,0.997913,0.998889,0.012112,0.8,0.016569,0.7695,176.985008,2.961344,0.012211,0.02708,0.111515,0.435029,0.071146,0.110011,0.632132,0.935547,0.989583,0.869141,0.938802,3.0,4.0
5,2026-06-18 11:46:22,43.26,1.0,4,3,0.5,0.998954,0.012108,0.999162,0.007499,0.996662,0.998372,0.01249,1.0,0.016497,0.883265,155.657729,2.465274,0.014365,0.027682,0.09669,0.417779,0.067246,0.144086,0.656499,0.93221,0.986259,0.866681,0.941637,3.0,4.0,0.999341,0.00696,0.999292,0.00598,0.997375,0.998621,0.009135,1.0,0.01289,0.750026,140.7239,1.237215,0.009452,0.025364,0.049244,0.330269,0.050467,0.142754,0.501289,0.954427,0.992839,0.907422,0.955599,3.0,4.0
6,2026-06-18 11:47:13,50.62,1.0,4,3,0.5,0.999338,0.008653,0.999709,0.004898,0.99825,0.999127,0.008647,1.0,0.012838,0.741458,128.244733,1.448827,0.008981,0.02395,0.067173,0.299224,0.051444,0.119056,0.480578,0.952541,0.991489,0.907816,0.958304,3.0,4.0,0.999817,0.004653,0.999756,0.003333,0.998792,0.999219,0.005691,1.0,0.008963,0.606277,116.891514,0.737094,0.005001,0.022264,0.045372,0.260836,0.043055,0.095883,0.384379,0.963151,0.983333,0.914453,0.962109,3.0,4.0
7,2026-06-18 11:47:52,38.4,1.0,4,3,0.5,0.999564,0.006642,0.999584,0.003895,0.998483,0.999328,0.007064,1.0,0.009785,0.637886,109.925816,1.016172,0.007138,0.020192,0.049188,0.224812,0.040448,0.090578,0.377396,0.966342,0.993455,0.934456,0.971336,3.0,4.0,0.999902,0.003932,0.99939,0.003687,0.998828,0.999536,0.004126,1.0,0.006471,0.517489,103.247669,0.504118,0.004772,0.018185,0.061339,0.136699,0.031832,0.072882,0.284769,0.983724,0.997396,0.960807,0.979036,3.0,4.0
8,2026-06-18 11:48:38,46.3,1.0,4,3,0.5,0.999778,0.004506,0.999778,0.003131,0.999181,0.999604,0.005212,1.0,0.007568,0.590772,98.808023,0.72465,0.004401,0.018547,0.041915,0.170992,0.034694,0.066316,0.306153,0.974291,0.99638,0.951197,0.977866,3.0,4.0,0.999878,0.003095,0.999939,0.002339,0.999756,0.999939,0.002892,1.0,0.005846,0.414008,92.233755,0.378046,0.002243,0.017238,0.016985,0.123888,0.025963,0.08125,0.239688,0.978125,0.994792,0.957943,0.984375,3.0,4.0
9,2026-06-18 11:49:28,49.57,1.0,4,3,0.5,0.999626,0.004359,0.999868,0.002433,0.999012,0.999504,0.004774,1.0,0.00654,0.526006,90.041044,0.611883,0.004634,0.017764,0.036771,0.14663,0.031977,0.063638,0.273459,0.978088,0.995494,0.958245,0.982521,3.0,4.0,0.971252,0.041568,0.979968,0.02728,0.945129,0.986426,0.023696,1.0,0.005363,0.361992,79.184702,1.716774,0.218904,0.016713,0.047097,0.322795,0.029187,0.131086,0.844136,0.947656,0.973307,0.908203,0.97487,3.0,4.0
10,2026-06-18 11:50:17,49.22,1.0,4,3,0.5,0.999681,0.003528,0.999656,0.00219,0.99905,0.99965,0.003842,1.0,0.00557,0.479928,82.339316,0.502969,0.004561,0.015905,0.028491,0.113723,0.027946,0.046855,0.232915,0.984368,0.997488,0.96878,0.985742,3.0,4.0,0.999902,0.002275,1.0,0.001767,0.99978,0.999878,0.002691,1.0,0.006811,0.30906,81.879371,0.314759,0.001878,0.01544,0.033744,0.093245,0.024031,0.025769,0.194097,0.98763,0.998047,0.973958,0.988281,3.0,4.0
