epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
1,2026-06-19 12:04:56,93.21,0.2,4,3,0.5,0.627474,1.150062,0.579615,0.972553,0.29895,0.661134,1.012039,0.2,0.788377,0.537531,17.257552,17.411856,2.915387,0.189776,0.905955,4.065103,0.227985,0.686362,8.78084,0.542893,0.414229,0.115381,0.602039,3.0,4.0,0.894031,0.475738,0.901514,0.346009,0.734949,0.898901,0.39628,0.2,0.737216,0.476196,46.956038,35.429087,0.902616,0.091139,0.859953,3.066482,0.201608,1.059992,4.395034,0.6375,0.550521,0.170182,0.695182,3.0,4.0
2,2026-06-19 12:05:28,31.75,0.4,4,3,0.5,0.960623,0.226567,0.96119,0.18496,0.899251,0.964187,0.188234,0.4,0.393605,0.713802,46.375424,42.494385,0.373245,0.067434,0.609857,2.577112,0.191912,1.126328,3.230016,0.685254,0.590278,0.239583,0.730053,3.0,4.0,0.990112,0.079418,0.994055,0.053634,0.976416,0.989612,0.065382,0.4,0.097885,0.494478,61.954552,33.548961,0.099341,0.058409,0.388452,1.716022,0.163953,0.831536,2.002182,0.757943,0.753125,0.442057,0.799609,3.0,4.0
3,2026-06-19 12:06:01,32.02,0.6,4,3,0.5,0.994368,0.050984,0.99598,0.034199,0.98475,0.993488,0.045358,0.6,0.079048,0.768644,48.852313,26.271228,0.062524,0.049084,0.289852,1.365556,0.142308,0.659423,1.775779,0.794489,0.883215,0.56349,0.816888,3.0,4.0,0.996448,0.026886,0.996399,0.022317,0.989978,0.996582,0.02021,0.6,0.043321,0.486864,44.996836,16.617913,0.03577,0.03955,0.209174,0.874603,0.10576,0.32471,1.195262,0.862891,0.967708,0.702865,0.854688,3.0,4.0
4,2026-06-19 12:06:33,31.93,0.8,4,3,0.5,0.997698,0.025187,0.998677,0.014039,0.993891,0.997249,0.02256,0.8,0.04167,0.78054,40.52787,15.912834,0.027039,0.041803,0.190034,0.861488,0.105107,0.356374,1.298958,0.850044,0.967642,0.707994,0.869326,3.0,4.0,0.999292,0.014233,0.999023,0.008914,0.99751,0.998889,0.014176,0.8,0.020755,0.401637,39.232007,9.951261,0.013592,0.032247,0.107165,0.586015,0.084672,0.183764,0.929599,0.895964,0.989193,0.80625,0.917188,3.0,4.0
5,2026-06-19 12:07:05,32.11,1.0,4,3,0.5,0.99887,0.015654,0.999345,0.009525,0.996624,0.998316,0.0147,1.0,0.030639,0.739366,34.997457,10.824448,0.016563,0.035822,0.144003,0.678336,0.082879,0.266505,1.126176,0.879108,0.978221,0.76482,0.893233,3.0,4.0,0.999695,0.008561,0.998523,0.007421,0.997571,0.999109,0.00843,1.0,0.016119,0.450464,35.224552,5.587041,0.012984,0.026817,0.090682,0.508006,0.065438,0.225113,0.880034,0.910807,0.988932,0.829557,0.923307,3.0,4.0
6,2026-06-19 12:07:37,32.04,1.0,4,3,0.5,0.999317,0.010768,0.999354,0.00707,0.997757,0.999044,0.010037,1.0,0.02446,0.684059,32.193491,7.620739,0.010997,0.03096,0.115284,0.547413,0.070163,0.212685,0.926603,0.907934,0.987145,0.814332,0.910195,3.0,4.0,0.999695,0.007863,0.999695,0.004028,0.999048,0.999658,0.004681,1.0,0.012556,0.402294,30.368045,3.946567,0.005121,0.023306,0.093279,0.369631,0.054287,0.126455,0.68171,0.944792,0.992839,0.885677,0.942188,3.0,4.0
7,2026-06-19 12:08:10,32.1,1.0,4,3,0.5,0.99964,0.007423,0.999519,0.005229,0.99857,0.999377,0.007136,1.0,0.022384,0.67297,30.733663,5.583443,0.007391,0.027058,0.10344,0.465263,0.059663,0.184293,0.80716,0.923848,0.987988,0.848981,0.929536,3.0,4.0,0.991907,0.019968,0.938086,0.060276,0.929175,0.989978,0.018272,1.0,0.013336,0.335751,26.387344,6.345717,0.355447,0.022824,0.066603,0.497138,0.046946,0.288393,1.482936,0.95625,0.944922,0.857682,0.941797,3.0,4.0
8,2026-06-19 12:08:42,32.08,1.0,4,3,0.5,0.999553,0.006352,0.999453,0.004807,0.998551,0.999511,0.006099,1.0,0.02094,0.660007,28.414106,4.377209,0.006701,0.024241,0.083881,0.359647,0.048788,0.169227,0.691787,0.940307,0.993307,0.886318,0.947754,3.0,4.0,0.999939,0.003421,0.999719,0.003072,0.999231,0.999573,0.003557,1.0,0.010794,0.3165,27.171011,1.798368,0.003698,0.018565,0.044266,0.23186,0.031966,0.120108,0.508433,0.966406,0.999349,0.936068,0.969661,3.0,4.0
9,2026-06-19 12:09:14,32.08,1.0,4,3,0.5,0.999227,0.006158,0.999612,0.004271,0.998232,0.999338,0.005483,1.0,0.019086,0.64746,26.555248,3.618646,0.007115,0.021159,0.076756,0.305978,0.039735,0.140018,0.61795,0.952054,0.994902,0.904905,0.955068,3.0,4.0,0.999585,0.003905,1.0,0.002145,0.99928,0.999695,0.002992,1.0,0.008475,0.29671,26.850527,1.385376,0.002879,0.016408,0.04107,0.188833,0.028976,0.070283,0.457052,0.969922,0.999349,0.947396,0.976172,3.0,4.0
10,2026-06-19 12:09:46,32.21,1.0,4,3,0.5,0.999758,0.004196,0.999747,0.003072,0.999047,0.999543,0.004196,1.0,0.018197,0.635372,24.92552,3.005572,0.004199,0.019019,0.067957,0.277181,0.036056,0.126384,0.560691,0.959235,0.994016,0.917007,0.959767,3.0,4.0,0.999878,0.002304,1.0,0.002228,0.999878,1.0,0.001973,1.0,0.008104,0.267592,24.329232,1.004998,0.00171,0.015894,0.048224,0.156939,0.026605,0.047831,0.399704,0.980469,0.998698,0.960938,0.979818,3.0,4.0
