epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
1,2026-06-19 17:37:16,93.3,0.2,4,3,0.5,0.581448,1.242712,0.525655,1.066266,0.226017,0.613574,1.113218,0.2,0.772523,0.506834,14.031288,14.972768,3.271468,0.201177,0.898594,4.224939,0.239946,0.607182,9.537476,0.526212,0.399054,0.107698,0.575739,3.0,4.0,0.825671,0.661459,0.814453,0.512439,0.548926,0.808179,0.565671,0.2,0.781706,0.234129,33.625005,28.624388,1.525101,0.106553,1.049248,3.292721,0.211686,0.909337,5.720373,0.640625,0.522526,0.126953,0.669141,3.0,4.0
2,2026-06-19 17:37:48,31.91,0.4,4,3,0.5,0.918523,0.37711,0.915772,0.310775,0.791192,0.922501,0.311506,0.4,0.492735,0.689497,41.458003,37.062959,0.717126,0.094908,0.707625,2.757218,0.207737,0.938679,3.968456,0.671232,0.566992,0.206664,0.713859,3.0,4.0,0.973682,0.133334,0.966125,0.114343,0.932495,0.983362,0.104031,0.4,0.15129,0.387518,58.536474,36.508898,0.249777,0.05629,0.44783,1.981663,0.167565,0.807456,2.465224,0.75625,0.726172,0.409375,0.771615,3.0,4.0
3,2026-06-19 17:38:20,32.15,0.6,4,3,0.5,0.989849,0.07812,0.990312,0.059403,0.972336,0.989266,0.065515,0.6,0.092892,0.732539,47.587032,28.192525,0.110484,0.079207,0.332337,1.521734,0.171366,0.661704,2.001118,0.78057,0.865618,0.53651,0.795966,3.0,4.0,0.989978,0.047755,0.978516,0.044748,0.964734,0.992346,0.034873,0.6,0.047062,0.436588,45.634638,19.182843,0.134327,0.040061,0.228929,1.082427,0.114878,0.382446,1.551412,0.846615,0.945964,0.657943,0.826302,3.0,4.0
4,2026-06-19 17:38:52,32.11,0.8,4,3,0.5,0.996059,0.03376,0.997358,0.020729,0.990186,0.996228,0.027079,0.8,0.04502,0.745483,40.035241,17.106052,0.040147,0.071968,0.206838,0.915704,0.129165,0.357794,1.392338,0.840189,0.971882,0.69081,0.854019,3.0,4.0,0.996704,0.025219,0.990405,0.021065,0.982898,0.994751,0.021486,0.8,0.022611,0.385096,39.352689,11.675982,0.061227,0.034299,0.121555,0.625682,0.067796,0.211755,1.080397,0.884766,0.980469,0.796224,0.916667,3.0,4.0
5,2026-06-19 17:39:25,32.2,1.0,4,3,0.5,0.998147,0.021514,0.998124,0.014205,0.994092,0.997512,0.017549,1.0,0.033733,0.720109,34.267466,12.137251,0.025018,0.067843,0.157711,0.727664,0.108451,0.292689,1.219048,0.867923,0.980201,0.747148,0.882772,3.0,4.0,0.995972,0.018048,0.996582,0.013098,0.991663,0.998132,0.014594,1.0,0.018794,0.410737,30.399607,7.484654,0.034479,0.027099,0.101596,0.549572,0.066849,0.251029,0.942026,0.897917,0.994792,0.814323,0.915755,3.0,4.0
6,2026-06-19 17:39:57,32.22,1.0,4,3,0.5,0.998816,0.014352,0.998781,0.009586,0.996052,0.998345,0.011708,1.0,0.026376,0.667298,31.19599,8.851753,0.016007,0.064526,0.130957,0.590032,0.099079,0.232136,1.005107,0.896572,0.988918,0.7918,0.896705,3.0,4.0,0.997986,0.013878,0.999146,0.006267,0.996338,0.999084,0.007135,1.0,0.01382,0.405729,27.050943,5.285225,0.015549,0.024192,0.199927,0.427759,0.074209,0.151783,0.764199,0.932422,0.989583,0.867318,0.940755,3.0,4.0
7,2026-06-19 17:40:30,32.49,1.0,4,3,0.5,0.999105,0.010781,0.999278,0.006766,0.997304,0.99881,0.009187,1.0,0.025091,0.671517,29.18832,6.777804,0.011567,0.062298,0.120029,0.476094,0.089239,0.192237,0.861249,0.915381,0.991194,0.840854,0.926359,3.0,4.0,0.999573,0.007613,0.999512,0.006508,0.998352,0.999268,0.005912,1.0,0.012481,0.347694,27.565613,3.517231,0.008468,0.023452,0.076957,0.284113,0.041732,0.091794,0.590468,0.945443,0.998047,0.89375,0.95026,3.0,4.0
8,2026-06-19 17:41:02,32.24,1.0,4,3,0.5,0.999197,0.00872,0.999446,0.005821,0.997943,0.999217,0.007414,1.0,0.021878,0.654688,26.824301,5.2816,0.009439,0.060242,0.101295,0.381,0.079935,0.148573,0.735122,0.93057,0.995567,0.874084,0.943218,3.0,4.0,0.999634,0.004265,0.999573,0.00273,0.998779,0.999512,0.003583,1.0,0.009957,0.318351,25.886883,2.438394,0.004291,0.019251,0.062385,0.238257,0.033938,0.115345,0.516794,0.962891,1.0,0.928906,0.962109,3.0,4.0
9,2026-06-19 17:41:35,32.26,1.0,4,3,0.5,0.999314,0.006908,0.999363,0.005094,0.997985,0.999259,0.006178,1.0,0.02102,0.644851,25.131497,4.238242,0.008365,0.05904,0.095713,0.319404,0.07488,0.136804,0.657429,0.944917,0.996158,0.899882,0.955482,3.0,4.0,0.999695,0.00481,0.999634,0.003109,0.998901,0.999512,0.003749,1.0,0.010881,0.303109,24.016685,1.789486,0.004593,0.019634,0.036935,0.187335,0.030608,0.058581,0.438578,0.968359,1.0,0.942188,0.972526,3.0,4.0
10,2026-06-19 17:42:07,32.32,1.0,4,3,0.5,0.999432,0.005922,0.999591,0.004219,0.998354,0.999276,0.005309,1.0,0.01971,0.64012,23.482762,3.453983,0.006793,0.058488,0.0765,0.271951,0.072986,0.112886,0.586225,0.956516,0.99638,0.919489,0.963268,3.0,4.0,0.999207,0.003384,0.999353,0.003469,0.998315,0.999634,0.003228,1.0,0.009003,0.287485,23.713313,1.333925,0.006553,0.017227,0.044824,0.131848,0.02704,0.045026,0.397752,0.983073,0.999349,0.96875,0.984375,3.0,4.0
