epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_logvar_coupling,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_logvar_coupling,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
1,2026-06-22 07:50:21,97.51,0.2,4,3,0.5,0.588583,1.229872,0.531648,1.055285,0.233766,0.618671,1.107466,0.2,0.771463,0.522969,14.341982,15.09733,-0.632878,3.228482,0.190183,0.905433,4.189145,0.237618,0.606092,9.39893,0.529684,0.403339,0.11352,0.583481,3.0,4.0,0.825049,0.638063,0.815662,0.515411,0.552722,0.810962,0.548268,0.2,0.765646,0.205152,32.798679,29.211606,-0.463717,1.512654,0.090184,1.035516,3.282542,0.19918,0.913344,5.64789,0.65638,0.535938,0.143229,0.669792,3.0,4.0
2,2026-06-22 07:50:55,33.68,0.4,4,3,0.5,0.921518,0.362207,0.912342,0.309224,0.789635,0.920372,0.318823,0.4,0.487293,0.686385,41.814023,36.729042,-0.540526,0.712415,0.090938,0.702779,2.735785,0.206301,0.930919,3.91276,0.674128,0.56977,0.212825,0.716445,3.0,4.0,0.984595,0.126585,0.976465,0.108413,0.946277,0.976697,0.127692,0.4,0.162318,0.449661,61.445088,35.435538,-0.46988,0.233228,0.067228,0.415639,1.965299,0.173788,0.8324,2.415126,0.755599,0.728255,0.401953,0.766927,3.0,4.0
3,2026-06-22 07:51:29,33.79,0.6,4,3,0.5,0.989489,0.079477,0.990053,0.062142,0.970329,0.987583,0.072467,0.6,0.092843,0.720012,47.836909,27.799062,-0.50502,0.11857,0.080778,0.331859,1.538872,0.171775,0.674946,2.000822,0.781693,0.861584,0.528901,0.792021,3.0,4.0,0.992273,0.039717,0.99187,0.031834,0.982007,0.994336,0.035488,0.6,0.050683,0.516734,47.169233,18.378504,-0.656196,0.085119,0.040976,0.236447,1.042637,0.125298,0.371887,1.407242,0.857943,0.96224,0.664974,0.814193,3.0,4.0
4,2026-06-22 07:52:03,33.73,0.8,4,3,0.5,0.996151,0.034968,0.997065,0.021573,0.989346,0.995495,0.031196,0.8,0.047416,0.755302,39.787256,17.39726,-0.416169,0.043211,0.074058,0.214898,0.934369,0.135356,0.372053,1.399048,0.838564,0.971114,0.686037,0.850502,3.0,4.0,0.99823,0.017909,0.99884,0.010478,0.995068,0.997754,0.018329,0.8,0.022541,0.402169,38.869072,11.157226,-0.660065,0.021472,0.033309,0.136592,0.616609,0.083426,0.188031,0.953252,0.889974,0.988932,0.793229,0.904557,3.0,4.0
5,2026-06-22 07:52:37,33.98,1.0,4,3,0.5,0.998043,0.021617,0.998219,0.013066,0.9941,0.997583,0.018294,1.0,0.034181,0.729391,33.903537,12.284031,-0.386951,0.023927,0.06975,0.158531,0.734027,0.112609,0.301007,1.204871,0.869858,0.98419,0.749143,0.877216,3.0,4.0,0.998657,0.012288,0.999451,0.006274,0.996948,0.998779,0.009658,1.0,0.017797,0.421651,31.491174,7.087557,-0.578267,0.013983,0.029115,0.118618,0.547146,0.072951,0.248533,0.880294,0.906771,0.996094,0.813932,0.90651,3.0,4.0
6,2026-06-22 07:53:11,33.89,1.0,4,3,0.5,0.998739,0.014925,0.998857,0.009204,0.996055,0.998361,0.013073,1.0,0.027432,0.671637,31.190545,9.066557,-0.313248,0.016528,0.066114,0.130788,0.608277,0.10137,0.242065,1.008194,0.895863,0.989066,0.784368,0.889465,3.0,4.0,0.998645,0.008879,0.99939,0.005741,0.997485,0.999451,0.006487,1.0,0.01535,0.419204,28.538736,5.316074,-0.518311,0.010651,0.024828,0.145344,0.464566,0.063718,0.153831,0.748081,0.925651,0.989583,0.841276,0.921745,3.0,4.0
7,2026-06-22 07:53:45,33.96,1.0,4,3,0.5,0.998913,0.011886,0.99895,0.007441,0.996698,0.998676,0.010076,1.0,0.025141,0.684617,29.464615,7.049757,-0.303187,0.013386,0.063653,0.120805,0.504764,0.094498,0.198339,0.876646,0.913298,0.990499,0.827231,0.915677,3.0,4.0,0.99939,0.007024,0.99823,0.006123,0.997339,0.999658,0.005952,1.0,0.013413,0.360846,26.946764,3.668234,-0.53639,0.010172,0.021414,0.091701,0.290236,0.038388,0.086471,0.568387,0.970964,0.992188,0.913151,0.948047,3.0,4.0
8,2026-06-22 07:54:19,33.93,1.0,4,3,0.5,0.999151,0.00897,0.999487,0.005711,0.997502,0.998816,0.007894,1.0,0.021954,0.671193,27.388297,5.533686,-0.292124,0.01034,0.061085,0.098103,0.406334,0.083305,0.157598,0.749237,0.930009,0.994533,0.865795,0.935934,3.0,4.0,0.999207,0.006706,0.999329,0.003359,0.997925,0.99939,0.005826,1.0,0.011622,0.340637,25.945555,2.885952,-0.468811,0.009311,0.020956,0.077594,0.265862,0.037471,0.13288,0.53827,0.974609,0.999349,0.934115,0.959505,3.0,4.0
9,2026-06-22 07:54:53,33.91,1.0,4,3,0.5,0.999363,0.0069,0.999321,0.005097,0.997901,0.999093,0.006416,1.0,0.020955,0.674328,25.129519,4.471459,-0.257619,0.008896,0.059943,0.097118,0.331253,0.07792,0.144226,0.661052,0.947163,0.995715,0.894607,0.947148,3.0,4.0,0.998853,0.005777,0.99939,0.005439,0.997449,0.999084,0.004009,1.0,0.009601,0.335311,24.071224,2.199181,-0.478971,0.010361,0.018031,0.057961,0.214344,0.030055,0.073359,0.457645,0.9625,1.0,0.929818,0.966667,3.0,4.0
10,2026-06-22 07:55:27,34.04,1.0,4,3,0.5,0.999289,0.006499,0.999107,0.005213,0.997496,0.998975,0.005687,1.0,0.019891,0.660428,24.069311,3.799399,-0.247652,0.009756,0.058456,0.081871,0.317752,0.074514,0.134948,0.623737,0.953118,0.995124,0.903295,0.949956,3.0,4.0,0.999512,0.00392,0.999512,0.002658,0.998779,0.999756,0.002924,1.0,0.009046,0.276941,23.610933,1.56091,-0.468091,0.00421,0.016381,0.071752,0.158714,0.026732,0.057321,0.395402,0.980469,1.0,0.954948,0.974479,3.0,4.0
