epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_logvar_coupling,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_logvar_coupling,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
1,2026-06-22 10:53:09,93.91,0.2,4,3,0.5,0.531153,1.363898,0.458447,1.169842,0.174551,0.556963,1.250936,0.2,0.748743,0.572746,14.197922,12.019858,-0.451931,3.65774,0.276639,0.861056,4.400529,0.312351,0.501836,10.380014,0.490972,0.366371,0.092657,0.532979,3.0,4.0,0.736548,0.766065,0.674915,0.711668,0.398083,0.777893,0.758384,0.2,0.802151,0.14639,24.932962,23.002733,-0.269048,2.089293,0.093728,1.029196,3.509992,0.194074,0.809864,6.86512,0.63151,0.482292,0.124219,0.654036,3.0,4.0
2,2026-06-22 10:53:41,32.2,0.4,4,3,0.5,0.878007,0.472252,0.858001,0.437878,0.68928,0.888923,0.420416,0.4,0.601069,0.759335,34.870925,32.63268,-0.677801,1.051028,0.198355,0.794613,2.911447,0.280177,0.848202,4.722647,0.664509,0.543942,0.18456,0.703413,3.0,4.0,0.662073,0.298828,0.718201,0.321741,0.433362,0.713293,0.427553,0.4,0.231334,0.429905,49.825022,39.654573,-0.178561,3.851914,0.089939,0.450684,3.979649,0.21097,0.908629,10.729698,0.513932,0.520964,0.181771,0.57526,3.0,4.0
3,2026-06-22 10:54:14,32.75,0.6,4,3,0.5,0.982685,0.109357,0.980427,0.098137,0.94923,0.980002,0.112193,0.6,0.12365,0.807793,47.441109,30.3357,-0.749613,0.193042,0.18626,0.374822,1.7761,0.263066,0.767212,2.407218,0.765352,0.790544,0.463431,0.779802,3.0,4.0,0.98844,0.060537,0.988684,0.040527,0.969812,0.989661,0.060978,0.6,0.060237,0.526355,47.243216,19.635219,0.268264,0.116632,0.044424,0.295851,1.175017,0.149346,0.488007,1.65317,0.85599,0.946224,0.644401,0.803776,3.0,4.0
4,2026-06-22 10:54:46,32.44,0.8,4,3,0.5,0.993803,0.045319,0.99398,0.032908,0.98138,0.992007,0.045224,0.8,0.057771,0.845037,40.748019,18.806176,-0.760822,0.069184,0.181877,0.235802,1.05968,0.235902,0.443841,1.636458,0.823316,0.953324,0.646218,0.83227,3.0,4.0,0.995569,0.028284,0.996387,0.019463,0.986169,0.993481,0.028803,0.8,0.030177,0.419838,39.463073,12.707274,0.127144,0.0491,0.043072,0.17297,0.716434,0.097522,0.234604,1.159649,0.873438,0.980469,0.754818,0.88724,3.0,4.0
5,2026-06-22 10:55:19,32.34,1.0,4,3,0.5,0.996338,0.027428,0.99672,0.02014,0.989524,0.995781,0.026889,1.0,0.036845,0.816278,34.966858,13.302419,-0.786484,0.040689,0.178022,0.169956,0.795017,0.216729,0.338197,1.377379,0.863002,0.976285,0.728709,0.868661,3.0,4.0,0.998718,0.015668,0.998474,0.011003,0.994897,0.997522,0.019276,1.0,0.020104,0.453259,32.928487,8.062268,0.020618,0.021464,0.040089,0.099058,0.591023,0.078443,0.279248,0.992926,0.898047,0.986589,0.789714,0.895313,3.0,4.0
6,2026-06-22 10:55:51,32.26,1.0,4,3,0.5,0.997699,0.018167,0.997688,0.013924,0.993134,0.99741,0.017397,1.0,0.027531,0.758147,32.014109,9.598228,-0.812259,0.025771,0.175402,0.129222,0.620305,0.204186,0.258182,1.114953,0.894371,0.986628,0.783983,0.889687,3.0,4.0,0.99917,0.011567,0.998743,0.007009,0.996899,0.998987,0.01151,1.0,0.015933,0.418767,30.91796,5.832069,-0.049955,0.012141,0.036996,0.115372,0.442035,0.067136,0.159581,0.798361,0.934375,0.992839,0.870964,0.938151,3.0,4.0
7,2026-06-22 10:56:24,32.37,1.0,4,3,0.5,0.99849,0.013177,0.998446,0.01019,0.995567,0.998368,0.012669,1.0,0.024413,0.753369,29.497329,7.534818,-0.832068,0.01785,0.173538,0.119517,0.507444,0.197905,0.193805,0.953056,0.915455,0.989761,0.826862,0.913889,3.0,4.0,0.997986,0.012282,0.991113,0.015306,0.986768,0.996228,0.015173,1.0,0.013906,0.380641,27.897591,4.721879,0.260156,0.055606,0.030273,0.064315,0.339244,0.05425,0.126668,0.766903,0.968099,0.99349,0.908203,0.941406,3.0,4.0
8,2026-06-22 10:56:57,32.48,1.0,4,3,0.5,0.998652,0.010769,0.998401,0.009517,0.995706,0.998443,0.010524,1.0,0.023005,0.730961,27.644978,6.129151,-0.847638,0.016007,0.171756,0.101026,0.424791,0.191278,0.178454,0.848078,0.930423,0.992982,0.856693,0.928044,3.0,4.0,0.999475,0.006642,0.999207,0.005045,0.997729,0.999048,0.00678,1.0,0.011752,0.343617,26.057125,3.222916,0.052186,0.008241,0.030745,0.061845,0.288628,0.053922,0.127782,0.585402,0.959635,0.998307,0.907943,0.948047,3.0,4.0
9,2026-06-22 10:57:29,32.47,1.0,4,3,0.5,0.998818,0.008962,0.998381,0.008344,0.996153,0.998712,0.008534,1.0,0.02029,0.722638,26.009119,4.972994,-0.857188,0.014248,0.170603,0.094334,0.351945,0.186436,0.149902,0.756348,0.944843,0.99372,0.889539,0.94573,3.0,4.0,0.999634,0.00535,0.99895,0.006179,0.997852,0.999207,0.005515,1.0,0.00999,0.308726,25.203252,2.454752,0.026629,0.008938,0.030965,0.042884,0.233455,0.045499,0.083376,0.513918,0.974609,1.0,0.940234,0.963672,3.0,4.0
10,2026-06-22 10:58:02,32.47,1.0,4,3,0.5,0.998902,0.007399,0.998816,0.007014,0.996833,0.998828,0.007166,1.0,0.019656,0.720397,23.90054,4.103574,-0.867516,0.012737,0.170015,0.073877,0.315219,0.182592,0.137787,0.686274,0.949601,0.993868,0.90229,0.954093,3.0,4.0,0.991907,0.018621,0.988269,0.022184,0.977649,0.993738,0.018263,1.0,0.009871,0.277376,22.524244,3.021823,0.117944,0.0916,0.029353,0.042643,0.273441,0.046106,0.166451,0.706804,0.965495,0.988281,0.922786,0.959896,3.0,4.0
