trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,baseline,0,40,0,1,5,S,7,5,3,8,10,0.0,0.0,0.0012287657358456272,0.9219559222459793
1,baseline,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,1.2522865797738912e-05,0.9232360583085281
2,baseline,0,40,0,5,3,S,8,7,3,3,13,0.0,0.0,0.0012328529611380645,0.9237429842352867
3,baseline,0,40,0,7,5,W,7,1,7,8,16,0.0,0.0,0.0012444319208611888,0.9197881832718849
4,baseline,1,13,0,5,3,W,1,6,1,6,7,0.5384615384615384,0.0,5.40928206191893e-05,0.918502518763909
5,baseline,0,40,0,4,8,E,5,2,8,8,9,0.0,0.0,0.0012239827368375699,0.9214141428470611
6,baseline,0,40,0,2,1,W,8,4,7,1,9,0.0,0.0,0.00016414232049442035,0.9262451976537704
7,baseline,0,40,0,6,1,W,4,3,1,1,4,0.0,0.0,0.00010490901497632877,0.9273235812783241
8,baseline,0,40,0,5,5,E,4,7,7,8,3,0.0,0.0,0.001230958438375751,0.9221192643046379
9,baseline,1,19,0,3,1,S,1,5,1,5,6,0.3157894736842105,0.0,7.839380186612146e-05,0.9254935195571498
10,baseline,1,12,0,8,2,W,1,3,1,3,10,0.8333333333333334,0.0,6.356493467289208e-06,0.9290272146463394
11,baseline,1,13,0,7,8,S,3,4,3,4,8,0.6153846153846154,0.0,0.0035471640338143448,0.9228065380683312
12,baseline,0,40,0,1,8,S,7,5,1,3,13,0.0,0.0,0.00011490564224061472,0.9259590968489647
13,baseline,0,40,0,3,7,W,1,4,4,3,5,0.0,0.0,0.001230466471426439,0.9181993201375007
14,baseline,0,40,0,4,8,S,8,3,8,8,15,0.0,0.0,0.0012637300888968638,0.9221155762672424
15,baseline,0,40,0,2,1,E,3,8,7,1,10,0.0,0.0,0.0002488997042576102,0.9262210130691528
16,baseline,0,40,0,5,2,S,1,2,4,3,6,0.0,0.0,0.0031587302169526765,0.908383347094059
17,baseline,0,40,0,1,7,S,7,2,1,2,13,0.0,0.0,0.00010878411426347156,0.9266616865992546
18,baseline,0,40,0,8,4,E,7,2,8,1,3,0.0,0.025,0.0016305584029794318,0.9230771780014038
19,baseline,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,0.0030179575628835665,0.9184628168741862
20,baseline,0,40,0,8,3,N,3,8,6,1,14,0.0,0.0,0.00010326007648302493,0.9265454813838006
21,baseline,0,40,0,5,1,N,7,6,1,2,15,0.0,0.0,0.00010128780648415159,0.9262841522693634
22,baseline,0,40,0,4,8,S,1,6,8,8,7,0.0,0.0,0.0012396263639686822,0.9220925465226173
23,baseline,0,40,0,5,1,N,3,6,1,2,7,0.0,0.0,0.00011876397006176376,0.9262516930699348
24,baseline,0,40,0,8,6,N,4,7,6,8,7,0.0,0.0,0.0012540325215780967,0.9186252474784851
0,gauss_low,0,40,0,1,5,S,7,5,3,8,10,0.0,0.0,0.0010482298280777512,0.9220291405916214
1,gauss_low,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,1.8550022944579654e-05,0.9238241360737727
2,gauss_low,0,40,0,5,3,S,8,7,3,3,13,0.0,0.0,0.001250781976287385,0.9240500569343567
3,gauss_low,0,40,0,7,5,W,7,1,7,8,16,0.0,0.0,0.0011936727757841936,0.9201640099287033
