trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,combined,0,40,4,1,5,S,7,5,3,1,10,0.0,1.0,0.2602764917700256,0.8432081639766693
1,combined,0,40,4,8,1,S,1,4,7,1,10,0.0,1.0,0.25024544285719796,0.8188748240470887
2,combined,0,40,5,5,3,S,8,7,5,3,13,0.0,1.0,0.23180636922334089,0.8319509267807007
3,combined,0,40,3,7,5,W,7,1,6,5,16,0.0,1.0,0.17524275585614077,0.825207069516182
4,combined,0,40,3,5,3,W,1,6,3,3,7,0.0,1.0,0.11100439218256497,0.8524502262473106
5,combined,0,40,1,4,8,E,5,2,7,8,9,0.0,0.85,0.194616059305622,0.8337847515940666
6,combined,0,40,1,2,1,W,8,4,7,1,9,0.0,1.0,0.07889790008830459,0.8504600405693055
7,combined,0,40,2,6,1,W,4,3,3,1,4,0.0,1.0,0.22954624055986414,0.8379052549600601
8,combined,0,40,2,5,5,E,4,7,6,5,3,0.0,1.0,0.21687883344526995,0.8391200914978981
9,combined,0,40,4,3,1,S,1,5,3,1,6,0.0,1.0,0.1454072164862282,0.8426903024315834
10,combined,0,40,4,8,2,W,1,3,8,4,10,0.0,1.0,0.15660785514014605,0.8487896025180817
11,combined,0,40,3,7,8,S,3,4,7,6,8,0.0,1.0,0.18888474858130735,0.8407245829701424
12,combined,0,40,3,1,8,S,7,5,1,6,13,0.0,0.85,0.13742146282511386,0.812153871357441
13,combined,0,40,2,3,7,W,1,4,3,7,5,0.0,0.825,0.12286684047171548,0.8241429314017296
14,combined,0,40,5,4,8,S,8,3,4,7,15,0.0,1.0,0.20236612680079133,0.8297644540667534
15,combined,0,40,2,2,1,E,3,8,1,1,10,0.0,1.0,0.13771958331915357,0.8435882747173309
16,combined,0,40,3,5,2,S,1,2,3,3,6,0.0,1.0,0.1290478778378656,0.8148991018533707
17,combined,0,40,1,1,7,S,7,2,1,7,13,0.0,0.975,0.18063915493395372,0.8493879944086075
18,combined,1,19,1,8,4,E,7,2,7,2,3,0.15789473684210525,1.0,0.2086415562348999,0.8360642163377059
19,combined,0,40,4,8,7,E,4,3,7,8,12,0.0,0.95,0.1882312095582165,0.8097986608743668
20,combined,0,40,9,8,3,N,3,8,8,3,14,0.0,1.0,0.1599433237787707,0.8276734367012978
21,combined,0,40,0,5,1,N,7,6,5,1,15,0.0,1.0,0.12532131188428366,0.8510943740606308
22,combined,0,40,0,4,8,S,1,6,4,7,7,0.0,0.85,0.2641451008752028,0.8168622925877571
23,combined,0,40,4,5,1,N,3,6,8,1,7,0.0,1.0,0.16229420581447584,0.836572490632534
24,combined,0,40,3,8,6,N,4,7,8,6,7,0.0,0.975,0.24638031519377818,0.8203592911362648
