trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,gauss_hi,0,40,0,1,5,S,7,5,4,8,10,0.0,0.025,0.0025634178750323145,0.9252115547657013
1,gauss_hi,1,21,0,8,1,S,1,4,1,4,10,0.47619047619047616,0.09523809523809523,0.03504798453525923,0.931316077709198
2,gauss_hi,0,40,0,5,3,S,8,7,3,3,13,0.0,0.025,0.022213516929443244,0.9237926319241524
3,gauss_hi,0,40,0,7,5,W,7,1,4,3,16,0.0,0.0,0.0566169928588522,0.9191381677985191
4,gauss_hi,1,13,0,5,3,W,1,6,1,6,7,0.5384615384615384,0.0,0.007411712219104279,0.9219528436660767
5,gauss_hi,0,40,0,4,8,E,5,2,3,3,9,0.0,0.0,0.011176039104901747,0.9197224274277687
6,gauss_hi,0,40,0,2,1,W,8,4,7,1,9,0.0,0.025,0.025678985373477303,0.9263879016041756
7,gauss_hi,0,40,0,6,1,W,4,3,1,1,4,0.0,0.0,0.006242141530091771,0.9308799222111702
8,gauss_hi,0,40,0,5,5,E,4,7,7,8,3,0.0,0.025,0.008466840160238576,0.9253055840730667
9,gauss_hi,1,19,0,3,1,S,1,5,1,5,6,0.3157894736842105,0.0,0.0004293789711841543,0.9303801216577229
10,gauss_hi,1,20,0,8,2,W,1,3,1,3,10,0.5,0.1,0.012402752389891702,0.9257473081350327
11,gauss_hi,1,13,0,7,8,S,3,4,3,4,8,0.6153846153846154,0.0,0.01176564914275192,0.9236187843176035
12,gauss_hi,0,40,0,1,8,S,7,5,1,5,13,0.0,0.075,0.03599113538064671,0.9266102448105812
13,gauss_hi,0,40,0,3,7,W,1,4,3,7,5,0.0,0.025,0.01850396300534385,0.9214630588889122
14,gauss_hi,0,40,0,4,8,S,8,3,8,8,15,0.0,0.025,0.010437590155055432,0.9262693136930465
15,gauss_hi,0,40,0,2,1,E,3,8,1,1,10,0.0,0.1,0.02449641743661459,0.9264083176851272
16,gauss_hi,1,17,0,5,2,S,1,2,1,2,6,0.35294117647058826,0.0,0.0546792165628176,0.9153111682218664
17,gauss_hi,0,40,0,1,7,S,7,2,1,2,13,0.0,0.0,0.0037181593276898184,0.9289601653814316
18,gauss_hi,0,40,0,8,4,E,7,2,6,1,3,0.0,0.225,0.08919842616941764,0.9210340946912765
19,gauss_hi,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,0.006119034910307164,0.921830936272939
20,gauss_hi,0,40,0,8,3,N,3,8,1,5,14,0.0,0.0,0.018173986761641458,0.926789003610611
21,gauss_hi,0,40,0,5,1,N,7,6,1,1,15,0.0,0.075,0.017750951056456188,0.9249624013900757
22,gauss_hi,0,40,0,4,8,S,1,6,8,8,7,0.0,0.0,0.008531242874403233,0.9227633744478225
23,gauss_hi,1,10,0,5,1,N,3,6,3,6,7,0.7,0.3,0.012329666047844513,0.9168614864349365
24,gauss_hi,0,40,0,8,6,N,4,7,5,3,7,0.0,0.0,0.013004055019592897,0.9219061836600304
