trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,gauss_med,0,40,0,1,5,S,7,5,1,2,10,0.0,0.35,0.11602934964058705,0.9244080618023872
1,gauss_med,0,40,1,8,1,S,1,4,6,1,10,0.0,0.925,0.19741971135276232,0.8819198757410049
2,gauss_med,0,40,0,5,3,S,8,7,4,8,13,0.0,0.4,0.05908844192448441,0.9041045159101486
3,gauss_med,0,40,1,7,5,W,7,1,3,8,16,0.0,0.15,0.04873003159830773,0.9106277152895927
4,gauss_med,0,40,1,5,3,W,1,6,7,2,7,0.0,0.775,0.12159855299155424,0.8975968047976494
5,gauss_med,0,40,0,4,8,E,5,2,7,8,9,0.0,0.075,0.07517852734665098,0.9140871167182922
6,gauss_med,1,17,0,2,1,W,8,4,8,4,9,0.5294117647058824,0.5882352941176471,0.16185477914463905,0.8983353797127219
7,gauss_med,0,40,0,6,1,W,4,3,7,1,4,0.0,0.7,0.08824345823427393,0.8752097025513649
8,gauss_med,0,40,0,5,5,E,4,7,3,7,3,0.0,0.075,0.036699257326563386,0.9149677470326424
9,gauss_med,0,40,1,3,1,S,1,5,8,3,6,0.0,0.55,0.17317433961218284,0.8842293381690979
10,gauss_med,0,40,2,8,2,W,1,3,3,1,10,0.0,0.675,0.12637217505139803,0.9026714265346527
11,gauss_med,1,13,0,7,8,S,3,4,3,4,8,0.6153846153846154,0.0,0.0019442357146055235,0.895850461262923
12,gauss_med,0,40,0,1,8,S,7,5,1,8,13,0.0,0.4,0.0639566416886396,0.9144256100058555
13,gauss_med,0,40,0,3,7,W,1,4,7,8,5,0.0,0.0,0.025329234170703784,0.9176428928971291
14,gauss_med,0,40,1,4,8,S,8,3,8,1,15,0.0,0.325,0.10658144438530144,0.8962765693664551
15,gauss_med,0,40,1,2,1,E,3,8,2,1,10,0.0,0.85,0.10465724988264355,0.9110283315181732
16,gauss_med,0,40,2,5,2,S,1,2,3,1,6,0.0,0.95,0.2358717383108342,0.9039243817329407
17,gauss_med,0,40,0,1,7,S,7,2,1,4,13,0.0,0.175,0.05638053568895316,0.9283596336841583
18,gauss_med,0,40,0,8,4,E,7,2,4,1,3,0.0,0.875,0.22436873788637968,0.888586337864399
19,gauss_med,0,40,0,8,7,E,4,3,3,4,12,0.0,0.0,0.01734958711073773,0.9175105795264245
20,gauss_med,0,40,3,8,3,N,3,8,3,1,14,0.0,0.7,0.05014188369839303,0.9128490209579467
21,gauss_med,0,40,0,5,1,N,7,6,8,1,15,0.0,0.675,0.1420273931236636,0.9114128962159157
22,gauss_med,0,40,0,4,8,S,1,6,3,3,7,0.0,0.025,0.03301423334224296,0.9094145402312279
23,gauss_med,0,40,1,5,1,N,3,6,8,4,7,0.0,0.775,0.26129077759435404,0.9103377267718316
24,gauss_med,0,40,0,8,6,N,4,7,3,3,7,0.0,0.025,0.006467295184484101,0.9168756395578385
