trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,mask_40,0,40,2,1,5,S,7,5,3,8,10,0.0,0.95,0.08459444219813009,0.836261510848999
1,mask_40,0,40,2,8,1,S,1,4,8,2,10,0.0,1.0,0.16901151572965886,0.8357631668448449
2,mask_40,0,40,10,5,3,S,8,7,3,5,13,0.0,1.0,0.1605073210974183,0.8251924172043801
3,mask_40,0,40,1,7,5,W,7,1,7,8,16,0.0,1.0,0.1677910974698648,0.8311086729168892
4,mask_40,0,40,3,5,3,W,1,6,3,1,7,0.0,1.0,0.15852005463796104,0.8415716052055359
5,mask_40,0,40,2,4,8,E,5,2,3,4,9,0.0,0.825,0.1414479705571466,0.8358452871441842
6,mask_40,0,40,1,2,1,W,8,4,4,1,9,0.0,1.0,0.23499738300383796,0.8359366580843925
7,mask_40,0,40,4,6,1,W,4,3,5,3,4,0.0,1.0,0.13007628049366532,0.8574967533349991
8,mask_40,1,20,2,5,5,E,4,7,4,7,3,0.15,1.0,0.20958964802709942,0.8146199852228164
9,mask_40,0,40,4,3,1,S,1,5,8,1,6,0.0,1.0,0.23352134502629268,0.8234952941536904
10,mask_40,0,40,3,8,2,W,1,3,8,3,10,0.0,1.0,0.25696339711438443,0.8542014479637146
11,mask_40,0,40,3,7,8,S,3,4,8,6,8,0.0,1.0,0.18504969063365023,0.8237722113728523
12,mask_40,0,40,5,1,8,S,7,5,1,7,13,0.0,0.975,0.21169204781821235,0.8279409795999527
13,mask_40,0,40,4,3,7,W,1,4,6,8,5,0.0,1.0,0.24574230982595963,0.8186701938509942
14,mask_40,0,40,4,4,8,S,8,3,7,5,15,0.0,0.925,0.2076910867162894,0.8286910638213157
15,mask_40,0,40,10,2,1,E,3,8,1,2,10,0.0,1.0,0.2143620013081545,0.814781092107296
16,mask_40,0,40,4,5,2,S,1,2,8,1,6,0.0,1.0,0.28747154721352786,0.8295550122857094
17,mask_40,0,40,2,1,7,S,7,2,1,8,13,0.0,0.95,0.10892628889232583,0.8064354702830314
18,mask_40,0,40,4,8,4,E,7,2,5,1,3,0.0,1.0,0.09931804171142175,0.8231013536453247
19,mask_40,0,40,2,8,7,E,4,3,8,8,12,0.0,0.975,0.25145700413854116,0.8067136093974113
20,mask_40,0,40,4,8,3,N,3,8,4,1,14,0.0,1.0,0.200100300212938,0.8386957481503486
21,mask_40,0,40,3,5,1,N,7,6,7,1,15,0.0,1.0,0.14579074121666052,0.8295039772987366
22,mask_40,0,40,1,4,8,S,1,6,4,8,7,0.0,0.85,0.2117127673428172,0.8201712220907211
23,mask_40,0,40,2,5,1,N,3,6,3,1,7,0.0,1.0,0.14174773409719138,0.8489262700080872
24,mask_40,0,40,4,8,6,N,4,7,8,8,7,0.0,1.0,0.12469442108294401,0.8392943322658539
