trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,combined,0,80,42,1,5,S,7,5,6,3,10,0.0,1.0,0.18855502886303271,0.9259560525417327
1,combined,0,80,39,8,1,S,1,4,8,4,10,0.0,1.0,0.34843909999726747,0.9100472331047058
2,combined,0,80,18,5,3,S,8,7,5,2,13,0.0,1.0,0.2677673750269435,0.902299465984106
3,combined,0,80,20,7,5,W,7,1,5,5,16,0.0,1.0,0.22397946424266024,0.8807735212147236
4,combined,0,80,38,5,3,W,1,6,3,3,7,0.0,1.0,0.2145642451116828,0.9273980587720871
5,combined,0,80,37,4,8,E,5,2,8,1,9,0.0,0.925,0.24846001136467066,0.9318935252726078
6,combined,0,80,37,2,1,W,8,4,8,2,9,0.0,1.0,0.3567101802987622,0.9238886170089244
7,combined,0,80,28,6,1,W,4,3,8,1,4,0.0,1.0,0.3217185890855035,0.9191830903291702
8,combined,1,10,0,5,5,E,4,7,4,7,3,0.3,0.9,0.16338040084920066,0.9140389204025269
9,combined,0,80,44,3,1,S,1,5,8,3,6,0.0,1.0,0.38204389261114785,0.9156862176954746
10,combined,0,80,35,8,2,W,1,3,8,4,10,0.0,1.0,0.2892829797226682,0.9037829548120498
11,combined,0,80,31,7,8,S,3,4,8,3,8,0.0,0.925,0.32520117919057157,0.9359964206814766
12,combined,0,80,25,1,8,S,7,5,6,3,13,0.0,1.0,0.18391416467774208,0.8971524693071842
13,combined,0,80,14,3,7,W,1,4,3,8,5,0.0,0.9375,0.15981340919967124,0.895643524825573
14,combined,0,80,57,4,8,S,8,3,6,3,15,0.0,0.9125,0.21746477961071378,0.9282834179699421
15,combined,0,80,20,2,1,E,3,8,1,4,10,0.0,1.0,0.20449935472092876,0.9092188760638237
16,combined,0,80,35,5,2,S,1,2,8,2,6,0.0,1.0,0.3075182629608264,0.9270396836102008
17,combined,0,80,27,1,7,S,7,2,1,2,13,0.0,1.0,0.38145181927486077,0.9201502047479153
18,combined,0,80,51,8,4,E,7,2,8,4,3,0.0,1.0,0.3994689999260572,0.9140550531446934
19,combined,1,26,5,8,7,E,4,3,4,3,12,0.46153846153846156,0.6923076923076923,0.26116149302312736,0.8967665525583121
20,combined,0,80,8,8,3,N,3,8,1,7,14,0.0,1.0,0.17426284922489685,0.920971867442131
21,combined,0,80,17,5,1,N,7,6,7,2,15,0.0,1.0,0.26174406914940107,0.9190712243318557
22,combined,0,80,34,4,8,S,1,6,6,3,7,0.0,0.925,0.25245914595726615,0.9169405676424504
23,combined,0,80,29,5,1,N,3,6,8,2,7,0.0,1.0,0.30613279343579053,0.9264336012303829
24,combined,0,80,9,8,6,N,4,7,7,5,7,0.0,1.0,0.1970174000871509,0.9048253268003463
