trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,gauss_hi,1,28,0,1,5,S,7,5,7,5,10,0.35714285714285715,0.2857142857142857,0.060032645784856085,0.8696816542318889
1,gauss_hi,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,0.0001371942137998653,0.9164339212270883
2,gauss_hi,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,0.0006732309559159452,0.894223497973548
3,gauss_hi,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,0.003984296714021263,0.8815129166064055
4,gauss_hi,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,0.00940536972893824,0.8960930054838007
5,gauss_hi,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,0.0005117658313338325,0.8916983604431152
6,gauss_hi,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.0003779825463694082,0.9131082242185419
7,gauss_hi,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,6.174185533122259e-05,0.914690009185246
8,gauss_hi,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,0.00019610860738339397,0.8999495804309845
9,gauss_hi,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,0.08064446137986023,0.91991702053282
10,gauss_hi,1,12,0,8,2,W,1,3,1,3,10,0.8333333333333334,0.16666666666666666,0.010981487427216052,0.9190121094385783
11,gauss_hi,1,11,0,7,8,S,3,4,3,4,8,0.7272727272727273,0.0,0.0077422559329740825,0.8974962722171437
12,gauss_hi,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,0.000761933782505845,0.8873567894885415
13,gauss_hi,1,9,0,3,7,W,1,4,1,4,5,0.5555555555555556,0.0,0.01627080368461975,0.8857654200659858
14,gauss_hi,1,22,0,4,8,S,8,3,8,3,15,0.6818181818181818,0.0,0.0030523413295988826,0.8701910918409174
15,gauss_hi,1,18,0,2,1,E,3,8,3,8,10,0.5555555555555556,0.2777777777777778,0.004595705988132674,0.8919967048698001
16,gauss_hi,1,9,0,5,2,S,1,2,1,2,6,0.6666666666666666,0.1111111111111111,0.038003245347428875,0.8874478605058458
17,gauss_hi,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,0.009893241403801767,0.902967132627964
18,gauss_hi,1,9,0,8,4,E,7,2,7,2,3,0.3333333333333333,0.3333333333333333,0.18001587888827292,0.8976613879203796
19,gauss_hi,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,0.0009105735806466934,0.8947437008221945
20,gauss_hi,1,21,0,8,3,N,3,8,3,8,14,0.6666666666666666,0.0,0.013558733538107368,0.8974619734854925
21,gauss_hi,1,20,0,5,1,N,7,6,7,6,15,0.75,0.05,0.0019571148191289468,0.8886037528514862
22,gauss_hi,1,14,0,4,8,S,1,6,1,6,7,0.5,0.0,0.006705352776244971,0.8506230754511697
23,gauss_hi,1,10,0,5,1,N,3,6,3,6,7,0.7,0.3,0.0006961369772398029,0.910447508096695
24,gauss_hi,1,10,0,8,6,N,4,7,4,7,7,0.7,0.0,0.000531374934712403,0.8882781624794006
