trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,gauss_med,1,14,0,1,5,S,7,5,7,5,10,0.7142857142857143,0.0,8.349947411748612e-05,0.8849525792258126
1,gauss_med,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,5.4588741599778026e-05,0.9167501972271845
2,gauss_med,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,0.0004978113565306962,0.8886543148093753
3,gauss_med,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,0.00024189627019357272,0.8848426782566569
4,gauss_med,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,0.0009771581099729783,0.8987679535692389
5,gauss_med,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,0.00011883149975871605,0.8886061035669767
6,gauss_med,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.0001026778258764435,0.9102662801742554
7,gauss_med,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,0.00015153559765427156,0.9044548954282489
8,gauss_med,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,4.714398789928964e-05,0.8891391605138779
9,gauss_med,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,0.00012917064158399525,0.9180053273836771
10,gauss_med,1,12,0,8,2,W,1,3,1,3,10,0.8333333333333334,0.0,8.78500346364793e-06,0.9210561960935593
11,gauss_med,1,11,0,7,8,S,3,4,3,4,8,0.7272727272727273,0.0,0.00992022327310141,0.8992172262885354
12,gauss_med,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,2.293117867530351e-05,0.8781796631060148
13,gauss_med,1,9,0,3,7,W,1,4,1,4,5,0.5555555555555556,0.0,0.00012239568276426225,0.8686467276679145
14,gauss_med,1,22,0,4,8,S,8,3,8,3,15,0.6818181818181818,0.0,0.0002217322603066598,0.8741042803634297
15,gauss_med,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,0.0010465693053447467,0.8883605216230664
16,gauss_med,1,11,0,5,2,S,1,2,1,2,6,0.5454545454545454,0.0,0.001733320478706446,0.8517347086559642
17,gauss_med,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,3.837080235769008e-05,0.9072667360305786
18,gauss_med,1,10,0,8,4,E,7,2,7,2,3,0.3,0.3,0.08750281256239986,0.8442754805088043
19,gauss_med,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,0.003787841882452388,0.894273062547048
20,gauss_med,1,19,0,8,3,N,3,8,3,8,14,0.7368421052631579,0.0,0.001117924428788348,0.8959198029417741
21,gauss_med,1,20,0,5,1,N,7,6,7,6,15,0.75,0.0,0.0025336311532896615,0.8914053797721863
22,gauss_med,1,16,0,4,8,S,1,6,1,6,7,0.4375,0.0,0.0037369305277934473,0.8345202729105949
23,gauss_med,1,10,0,5,1,N,3,6,3,6,7,0.7,0.0,0.0006073157864534551,0.9078819453716278
24,gauss_med,1,10,0,8,6,N,4,7,4,7,7,0.7,0.0,6.2597839132649826e-06,0.8843056678771972
