trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,mask_40,0,80,30,1,5,S,7,5,1,7,10,0.0,1.0,0.18117459948189776,0.9220506168901921
1,mask_40,0,80,39,8,1,S,1,4,8,4,10,0.0,1.0,0.36441847919987824,0.9070352829992772
2,mask_40,0,80,20,5,3,S,8,7,1,8,13,0.0,1.0,0.3377170441051959,0.9189678139984607
3,mask_40,0,80,41,7,5,W,7,1,5,5,16,0.0,1.0,0.1315588306339123,0.8876331873238087
4,mask_40,0,80,40,5,3,W,1,6,8,3,7,0.0,1.0,0.3127435473921764,0.938654114305973
5,mask_40,0,80,32,4,8,E,5,2,5,3,9,0.0,0.9,0.3615284463538956,0.9277425602078437
6,mask_40,0,80,33,2,1,W,8,4,8,3,9,0.0,1.0,0.2658503632377688,0.9263254173099995
7,mask_40,0,80,38,6,1,W,4,3,8,3,4,0.0,1.0,0.382787479754677,0.9346808791160583
8,mask_40,1,4,0,5,5,E,4,7,4,7,3,0.75,1.0,0.03709238345254562,0.9222708493471146
9,mask_40,0,80,31,3,1,S,1,5,8,3,6,0.0,1.0,0.3052736028788786,0.9298562601208686
10,mask_40,0,80,43,8,2,W,1,3,8,4,10,0.0,1.0,0.34702728694228424,0.9130196578800678
11,mask_40,0,80,40,7,8,S,3,4,5,5,8,0.0,1.0,0.38255823456784127,0.9360961608588696
12,mask_40,0,80,17,1,8,S,7,5,3,7,13,0.0,1.0,0.30851627253068725,0.9222529590129852
13,mask_40,1,14,3,3,7,W,1,4,1,4,5,0.35714285714285715,1.0,0.26656984051598037,0.8907641981329236
14,mask_40,1,51,19,4,8,S,8,3,8,3,15,0.29411764705882354,0.8823529411764706,0.26046096403164415,0.9203012714198991
15,mask_40,1,53,13,2,1,E,3,8,3,8,10,0.18867924528301888,1.0,0.290838069703654,0.8956778757977035
16,mask_40,0,80,31,5,2,S,1,2,3,3,6,0.0,1.0,0.3712071089922574,0.9246364548802376
17,mask_40,0,80,43,1,7,S,7,2,1,1,13,0.0,1.0,0.3099849510857894,0.9196455359458924
18,mask_40,0,80,47,8,4,E,7,2,8,4,3,0.0,1.0,0.3180393532014364,0.9221753492951393
19,mask_40,0,80,29,8,7,E,4,3,8,3,12,0.0,0.9375,0.32641577893340357,0.9327480971813202
20,mask_40,0,80,53,8,3,N,3,8,8,4,14,0.0,1.0,0.22206423958446067,0.9284859448671341
21,mask_40,0,80,38,5,1,N,7,6,7,2,15,0.0,1.0,0.32843029201274876,0.9309506207704544
22,mask_40,0,80,45,4,8,S,1,6,8,2,7,0.0,0.925,0.2956598287328774,0.9332918465137482
23,mask_40,0,80,43,5,1,N,3,6,8,4,7,0.0,1.0,0.3341725516365841,0.9191189490258693
24,mask_40,0,80,4,8,6,N,4,7,8,8,7,0.0,0.9875,0.29370623082022007,0.9055335074663162
