trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,combined,0,80,8,1,5,S,7,5,1,8,10,0.0,1.0,0.14805270463232317,0.7597328275442123
1,combined,0,80,35,8,1,S,1,4,1,1,10,0.0,1.0,0.062524348027398,0.7478990875184536
2,combined,0,80,7,5,3,S,8,7,5,2,13,0.0,1.0,0.0942697336693243,0.7523170687258244
3,combined,0,80,22,7,5,W,7,1,7,5,16,0.0,1.0,0.27929296272805004,0.8115510672330857
4,combined,0,80,26,5,3,W,1,6,3,3,7,0.0,1.0,0.19306668482224437,0.7756911024451256
5,combined,0,80,19,4,8,E,5,2,3,3,9,0.0,0.8625,0.17212710889924382,0.7639229469001293
6,combined,1,13,0,2,1,W,8,4,8,4,9,0.6923076923076923,1.0,0.23674906253066952,0.7628597983947167
7,combined,0,80,19,6,1,W,4,3,7,1,4,0.0,1.0,0.14264231030979319,0.7599050357937813
8,combined,1,62,2,5,5,E,4,7,4,7,3,0.04838709677419355,1.0,0.16694684229727383,0.7811897762360112
9,combined,0,80,19,3,1,S,1,5,3,3,6,0.0,1.0,0.15176759971807313,0.7683457352221013
10,combined,0,80,24,8,2,W,1,3,8,1,10,0.0,1.0,0.19220383839133887,0.7391777634620667
11,combined,1,13,0,7,8,S,3,4,3,4,8,0.6153846153846154,0.5384615384615384,0.15447008814519975,0.7271856436362634
12,combined,0,80,15,1,8,S,7,5,5,2,13,0.0,0.9625,0.2623508587344304,0.788699957728386
13,combined,0,80,24,3,7,W,1,4,5,5,5,0.0,0.9875,0.18173679601410414,0.7733689785003662
14,combined,0,80,23,4,8,S,8,3,4,3,15,0.0,0.95,0.14409228504357827,0.7475308269262314
15,combined,0,80,0,2,1,E,3,8,1,8,10,0.0,1.0,0.08450418436000291,0.7416875243186951
16,combined,0,80,16,5,2,S,1,2,4,1,6,0.0,1.0,0.21035910057964885,0.7871209189295769
17,combined,0,80,15,1,7,S,7,2,6,1,13,0.0,0.975,0.07842252781409798,0.7496543034911156
18,combined,0,80,9,8,4,E,7,2,5,1,3,0.0,1.0,0.15826856275939463,0.8013174176216126
19,combined,1,33,4,8,7,E,4,3,4,3,12,0.36363636363636365,0.7575757575757576,0.09015895939239382,0.7404735305092551
20,combined,0,80,10,8,3,N,3,8,8,3,14,0.0,1.0,0.1100674987011189,0.7929254069924354
21,combined,0,80,13,5,1,N,7,6,8,4,15,0.0,1.0,0.20144145046726863,0.7753027454018593
22,combined,0,80,17,4,8,S,1,6,3,3,7,0.0,0.875,0.16856152490840373,0.7609232343733311
23,combined,0,80,20,5,1,N,3,6,8,4,7,0.0,1.0,0.17317395042276756,0.7765288308262825
24,combined,0,80,2,8,6,N,4,7,7,7,7,0.0,1.0,0.13580641577728442,0.7783009998500348
