trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,gauss_hi,1,14,0,1,5,S,7,5,7,5,10,0.7142857142857143,0.07142857142857142,0.02094351939178653,0.8255713113716671
1,gauss_hi,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,4.399832806274599e-05,0.8141380961124713
2,gauss_hi,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,0.004527177573461611,0.8201965093612671
3,gauss_hi,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.08695652173913043,0.0013265502912012696,0.8287149356759113
4,gauss_hi,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,0.005780988933049064,0.8161065849390897
5,gauss_hi,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,0.00045219802259802795,0.7975718791668231
6,gauss_hi,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.0008443064806339283,0.816396870396354
7,gauss_hi,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,0.02392882637218463,0.8380462016378131
8,gauss_hi,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,0.030408057113504583,0.7924782931804657
9,gauss_hi,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,0.0004121860899380812,0.8513026303715177
10,gauss_hi,1,16,0,8,2,W,1,3,1,3,10,0.625,0.3125,0.057059375082545216,0.807731606066227
11,gauss_hi,1,11,0,7,8,S,3,4,3,4,8,0.7272727272727273,0.0,0.0006271511839176211,0.7749267653985457
12,gauss_hi,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,0.0002206952210958422,0.8077091292331093
13,gauss_hi,1,7,0,3,7,W,1,4,1,4,5,0.7142857142857143,0.0,0.00027350848755044614,0.827824626650129
14,gauss_hi,1,22,0,4,8,S,8,3,8,3,15,0.6818181818181818,0.0,0.010090257515612806,0.8184432631189172
15,gauss_hi,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,0.0009349305038800335,0.8404657329831805
16,gauss_hi,1,17,0,5,2,S,1,2,1,2,6,0.35294117647058826,0.4117647058823529,0.03439214180553683,0.8296729150940391
17,gauss_hi,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,0.0018228425513200364,0.8197507970035076
18,gauss_hi,1,6,0,8,4,E,7,2,7,2,3,0.5,0.0,0.0008390382993373654,0.8336101571718851
19,gauss_hi,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,3.29255381833112e-05,0.7838278969128927
20,gauss_hi,1,19,0,8,3,N,3,8,3,8,14,0.7368421052631579,0.0,0.013924524593257478,0.8150094245609484
21,gauss_hi,0,80,0,5,1,N,7,6,5,3,15,0.0,0.9875,0.03765238858278508,0.878863088041544
22,gauss_hi,1,12,0,4,8,S,1,6,1,6,7,0.5833333333333334,0.0,0.0026871145088307458,0.8158751875162125
23,gauss_hi,1,10,0,5,1,N,3,6,3,6,7,0.7,0.1,0.0031175542725577544,0.8356272757053376
24,gauss_hi,1,10,0,8,6,N,4,7,4,7,7,0.7,0.0,0.06876116941277814,0.7807173907756806
