trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,gauss_low,1,14,0,1,5,S,7,5,7,5,10,0.7142857142857143,0.0,0.00017911495694988844,0.8181231915950775
1,gauss_low,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,1.3957288134546476e-05,0.8188353318434495
2,gauss_low,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,6.0510027803199286e-05,0.8104269703229269
3,gauss_low,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,1.578643368900331e-05,0.824962898440983
4,gauss_low,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,0.0006971697054868029,0.8122644261880354
5,gauss_low,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,6.727966522773316e-06,0.7877611563755915
6,gauss_low,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.0006571740729916862,0.8178948272358287
7,gauss_low,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,3.6359881505632075e-06,0.8297911201204572
8,gauss_low,1,7,0,5,5,E,4,7,4,7,3,0.42857142857142855,0.0,2.1579123767878627e-06,0.7875734056745257
9,gauss_low,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,2.32849537522068e-05,0.8453738225830926
10,gauss_low,1,14,0,8,2,W,1,3,1,3,10,0.7142857142857143,0.35714285714285715,0.14871630344727496,0.797430911234447
11,gauss_low,1,11,0,7,8,S,3,4,3,4,8,0.7272727272727273,0.0,1.199993020732522e-05,0.754881739616394
12,gauss_low,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,7.409912232584535e-05,0.7991269262213456
13,gauss_low,1,7,0,3,7,W,1,4,1,4,5,0.7142857142857143,0.0,0.0001933480911182934,0.8244280133928571
14,gauss_low,1,22,0,4,8,S,8,3,8,3,15,0.6818181818181818,0.0,3.8575894719046616e-05,0.8155947192148729
15,gauss_low,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,7.572429093930364e-05,0.8350857751710075
16,gauss_low,1,9,0,5,2,S,1,2,1,2,6,0.6666666666666666,0.0,0.00022897792208217047,0.8327366511027018
17,gauss_low,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,2.285406336000051e-05,0.821778729557991
18,gauss_low,1,6,0,8,4,E,7,2,7,2,3,0.5,0.5,0.009198480798052818,0.820404718319575
19,gauss_low,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,6.338865856984436e-06,0.770861005783081
20,gauss_low,1,19,0,8,3,N,3,8,3,8,14,0.7368421052631579,0.0,8.237874745693836e-05,0.8081019207050926
21,gauss_low,1,20,0,5,1,N,7,6,7,6,15,0.75,0.0,5.8100126909721436e-05,0.8213341236114502
22,gauss_low,1,12,0,4,8,S,1,6,1,6,7,0.5833333333333334,0.0,0.00039716223680367574,0.8131929834683737
23,gauss_low,1,10,0,5,1,N,3,6,3,6,7,0.7,0.0,0.00012749782599712488,0.8297793745994568
24,gauss_low,1,10,0,8,6,N,4,7,4,7,7,0.7,0.0,5.378990522331151e-06,0.7726085543632507
