trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,gauss_med,1,14,0,1,5,S,7,5,7,5,10,0.7142857142857143,0.0,0.00011170310649179425,0.8220066939081464
1,gauss_med,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,2.0707490683400047e-05,0.8191695167468145
2,gauss_med,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,0.0001062677395743271,0.8107776343822479
3,gauss_med,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,1.727610634074865e-05,0.8245431003363236
4,gauss_med,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,0.0005524204119327889,0.8123486692255194
5,gauss_med,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,8.360481108236574e-06,0.7890083835675166
6,gauss_med,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.00020817862076166256,0.8158397078514099
7,gauss_med,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,3.915799230266462e-06,0.8313658322606768
8,gauss_med,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,6.6914884655489e-06,0.780075341463089
9,gauss_med,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,1.871935496132614e-05,0.8485991424984403
10,gauss_med,1,14,0,8,2,W,1,3,1,3,10,0.7142857142857143,0.42857142857142855,0.08245497432328973,0.7964715915066856
11,gauss_med,1,11,0,7,8,S,3,4,3,4,8,0.7272727272727273,0.0,1.4625672933603214e-05,0.7558134306560863
12,gauss_med,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,5.3884792087525345e-05,0.801113414136987
13,gauss_med,1,7,0,3,7,W,1,4,1,4,5,0.7142857142857143,0.0,0.00013271871330289287,0.8257887022835868
14,gauss_med,1,22,0,4,8,S,8,3,8,3,15,0.6818181818181818,0.0,8.515825160512495e-05,0.8160170912742615
15,gauss_med,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,1.2924528537691263e-05,0.8333708941936493
16,gauss_med,1,9,0,5,2,S,1,2,1,2,6,0.6666666666666666,0.1111111111111111,0.012755419185572868,0.8353823886977302
17,gauss_med,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,3.3884613841905775e-05,0.820592749863863
18,gauss_med,1,6,0,8,4,E,7,2,7,2,3,0.5,0.0,3.7555866621611735e-05,0.8270602623621622
19,gauss_med,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,6.3436589698540045e-06,0.774548335870107
20,gauss_med,1,19,0,8,3,N,3,8,3,8,14,0.7368421052631579,0.0,7.169408105542779e-05,0.8073579794482181
21,gauss_med,1,20,0,5,1,N,7,6,7,6,15,0.75,0.0,0.00012724366747534076,0.8227322369813919
22,gauss_med,1,12,0,4,8,S,1,6,1,6,7,0.5833333333333334,0.0,0.0008741188944441092,0.814198429385821
23,gauss_med,1,10,0,5,1,N,3,6,3,6,7,0.7,0.0,0.0003714044761409241,0.8282312691211701
24,gauss_med,1,10,0,8,6,N,4,7,4,7,7,0.7,0.0,9.950082153409312e-06,0.7714339852333069
