trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,mask_40,0,80,19,1,5,S,7,5,1,8,10,0.0,1.0,0.048649167545326576,0.7217238284647465
1,mask_40,0,80,23,8,1,S,1,4,8,2,10,0.0,1.0,0.22182201888285819,0.7846417292952538
2,mask_40,0,80,4,5,3,S,8,7,6,3,13,0.0,1.0,0.22436556391690488,0.7817532308399677
3,mask_40,0,80,32,7,5,W,7,1,6,3,16,0.0,0.9625,0.1500404540889008,0.772493576258421
4,mask_40,0,80,34,5,3,W,1,6,6,3,7,0.0,1.0,0.11882621901879986,0.7514935813844204
5,mask_40,0,80,32,4,8,E,5,2,6,3,9,0.0,0.925,0.20211299048595208,0.7956258006393909
6,mask_40,1,20,1,2,1,W,8,4,8,4,9,0.45,1.0,0.11907860366281967,0.7746935993432998
7,mask_40,0,80,22,6,1,W,4,3,8,1,4,0.0,1.0,0.2164741708022177,0.7764447331428528
8,mask_40,1,78,3,5,5,E,4,7,4,7,3,0.038461538461538464,0.8974358974358975,0.3311454692867149,0.7930315450215951
9,mask_40,0,80,29,3,1,S,1,5,8,1,6,0.0,1.0,0.08182556291637297,0.7658839024603367
10,mask_40,0,80,23,8,2,W,1,3,3,3,10,0.0,1.0,0.09827912364920052,0.7715850837528706
11,mask_40,1,21,0,7,8,S,3,4,3,4,8,0.38095238095238093,0.47619047619047616,0.07894980601987472,0.76426252864656
12,mask_40,0,80,24,1,8,S,7,5,4,1,13,0.0,1.0,0.14339426553913198,0.7518630102276802
13,mask_40,0,80,35,3,7,W,1,4,3,8,5,0.0,0.9875,0.09189448659066102,0.7675175957381726
14,mask_40,0,80,31,4,8,S,8,3,6,3,15,0.0,0.9375,0.1423871305575517,0.7417995013296604
15,mask_40,1,64,2,2,1,E,3,8,3,8,10,0.15625,1.0,0.14693745298357896,0.7749869814142585
16,mask_40,0,80,24,5,2,S,1,2,8,3,6,0.0,1.0,0.20406581583825983,0.7982072912156581
17,mask_40,0,80,20,1,7,S,7,2,8,1,13,0.0,1.0,0.0715775784194534,0.7336434185504913
18,mask_40,0,80,25,8,4,E,7,2,7,1,3,0.0,1.0,0.13669995309944624,0.7796423405408859
19,mask_40,1,50,9,8,7,E,4,3,4,3,12,0.24,0.94,0.12376770381715232,0.7509647822380066
20,mask_40,0,80,9,8,3,N,3,8,8,4,14,0.0,1.0,0.1152716765269588,0.8011890210211277
21,mask_40,0,80,16,5,1,N,7,6,3,1,15,0.0,1.0,0.13416280030344296,0.7645202614367008
22,mask_40,0,80,31,4,8,S,1,6,3,3,7,0.0,0.925,0.226497994808787,0.7719576776027679
23,mask_40,0,80,23,5,1,N,3,6,5,3,7,0.0,0.9875,0.19134863106536387,0.794876853376627
24,mask_40,1,10,0,8,6,N,4,7,4,7,7,0.7,0.3,0.0529870985868456,0.7548612952232361
