trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,gauss_low,1,14,0,1,5,S,7,5,7,5,10,0.7142857142857143,0.0,0.0011444659289086953,0.8153055948870522
1,gauss_low,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,0.0022739880592045946,0.8160827068182138
2,gauss_low,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,0.0008747720287626887,0.8168973492251502
3,gauss_low,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,0.0013942468900673387,0.8165869583254275
4,gauss_low,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,8.542319239330192e-05,0.816808207468553
5,gauss_low,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,0.00034215262973283155,0.8171247564829313
6,gauss_low,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.00038321175144450206,0.8146664716980674
7,gauss_low,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,0.004792366697009649,0.8195550952638898
8,gauss_low,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,0.0002976905195737345,0.8114325404167175
9,gauss_low,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,0.002476007650986705,0.8182018531693352
10,gauss_low,1,16,0,8,2,W,1,3,1,3,10,0.625,0.125,0.010170379888165826,0.8171328790485859
11,gauss_low,1,11,0,7,8,S,3,4,3,4,8,0.7272727272727273,0.0,0.00025562632923869057,0.8121906952424482
12,gauss_low,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,0.0003287592663031989,0.8133418905107599
13,gauss_low,1,7,0,3,7,W,1,4,1,4,5,0.7142857142857143,0.0,0.03679545925108739,0.8140103135790143
14,gauss_low,1,22,0,4,8,S,8,3,8,3,15,0.6818181818181818,0.0,0.0013795988147132282,0.8164964778856798
15,gauss_low,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,0.006767206708478365,0.81391299196652
16,gauss_low,1,35,0,5,2,S,1,2,1,2,6,0.17142857142857143,0.6285714285714286,0.034632614222729376,0.8216420922960553
17,gauss_low,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.125,0.00022197849801841585,0.8133445270359516
18,gauss_low,1,8,0,8,4,E,7,2,7,2,3,0.375,0.5,0.16565726673798054,0.8213590011000633
19,gauss_low,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,0.00016665722487232414,0.8145037889480591
20,gauss_low,1,31,0,8,3,N,3,8,3,8,14,0.45161290322580644,0.0,0.0011111466241595003,0.8181198085508039
21,gauss_low,1,20,0,5,1,N,7,6,7,6,15,0.75,0.0,0.0011725300630928358,0.8126443326473236
22,gauss_low,1,12,0,4,8,S,1,6,1,6,7,0.5833333333333334,0.0,0.0014524423641925448,0.8179311404625574
23,gauss_low,1,10,0,5,1,N,3,6,3,6,7,0.7,0.0,3.4160819313910903e-05,0.8148880422115325
24,gauss_low,1,10,0,8,6,N,4,7,4,7,7,0.7,0.0,5.7797454064711926e-05,0.8160276710987091
