trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,gauss_med,1,14,0,1,5,S,7,5,7,5,10,0.7142857142857143,0.0,0.0018517600425574138,0.8158547835690635
1,gauss_med,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,0.0016718247962811661,0.8159844141740066
2,gauss_med,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,0.0008919637480049561,0.8171964751349555
3,gauss_med,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,0.001427102413018751,0.8170761906582377
4,gauss_med,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,5.5519165181811495e-05,0.8176638700745322
5,gauss_med,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,0.00039335351617899927,0.8171263153736408
6,gauss_med,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.001143366702205061,0.8142041889103976
7,gauss_med,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,0.013590045731234568,0.8203849537031991
8,gauss_med,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,0.0005162175336863584,0.8114141970872879
9,gauss_med,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,0.0027056233363459293,0.8184413976139493
10,gauss_med,1,16,0,8,2,W,1,3,1,3,10,0.625,0.125,0.014815228708485506,0.8174280636012554
11,gauss_med,1,11,0,7,8,S,3,4,3,4,8,0.7272727272727273,0.0,0.0002496921625730796,0.8121013045310974
12,gauss_med,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,0.00031367602307335273,0.8138693131898579
13,gauss_med,1,7,0,3,7,W,1,4,1,4,5,0.7142857142857143,0.0,0.01973770197524313,0.8141151922089713
14,gauss_med,1,22,0,4,8,S,8,3,8,3,15,0.6818181818181818,0.0,0.0010686809359144304,0.8164706257256594
15,gauss_med,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,0.02183151099730399,0.8137548225266593
16,gauss_med,1,9,0,5,2,S,1,2,1,2,6,0.6666666666666666,0.0,0.0311265704278109,0.821260909239451
17,gauss_med,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.125,0.00019955197409871062,0.8133187890052795
18,gauss_med,1,20,0,8,4,E,7,2,7,2,3,0.15,0.5,0.025343074048032578,0.827518543601036
19,gauss_med,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,0.0003273137178742521,0.8144902388254801
20,gauss_med,1,25,0,8,3,N,3,8,3,8,14,0.56,0.0,0.0029990614903545065,0.8176830363273621
21,gauss_med,1,20,0,5,1,N,7,6,7,6,15,0.75,0.0,0.0007759323309187493,0.81302150785923
22,gauss_med,1,12,0,4,8,S,1,6,1,6,7,0.5833333333333334,0.0,0.002486408260438111,0.8184677163759867
23,gauss_med,1,10,0,5,1,N,3,6,3,6,7,0.7,0.0,6.944304896023823e-05,0.8158811211585999
24,gauss_med,1,10,0,8,6,N,4,7,4,7,7,0.7,0.0,9.301766324369965e-05,0.8161370694637299
