trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,mask_40,1,14,0,1,5,S,7,5,7,5,10,0.7142857142857143,0.0,0.00035928472046212586,0.8146802357264927
1,mask_40,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,0.003272463667546897,0.815483074921828
2,mask_40,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,0.0013802238779463652,0.8167033659087287
3,mask_40,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,0.0019228426423939275,0.8170171172722526
4,mask_40,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,0.0036195613529343973,0.8171453746882352
5,mask_40,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,0.0004907424910680464,0.8162225897495563
6,mask_40,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.00013158514126520129,0.8145114400170066
7,mask_40,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,0.0013073334513527307,0.8188747593334743
8,mask_40,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,0.0007707905708684848,0.8110910952091217
9,mask_40,1,11,0,3,1,S,1,5,1,5,6,0.5454545454545454,0.36363636363636365,0.06203664832111661,0.8199364597147162
10,mask_40,0,80,0,8,2,W,1,3,7,2,10,0.0,0.975,0.017436980177490114,0.8331416182219982
11,mask_40,1,11,0,7,8,S,3,4,3,4,8,0.7272727272727273,0.0,0.017339251515522847,0.8116525194861672
12,mask_40,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,0.00134675176484746,0.8132642821261757
13,mask_40,1,15,0,3,7,W,1,4,1,4,5,0.3333333333333333,0.4666666666666667,0.040244600603273284,0.8185462395350138
14,mask_40,1,22,0,4,8,S,8,3,8,3,15,0.6818181818181818,0.0,0.0054892833142668514,0.8162611587481066
15,mask_40,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,0.0036815798833913504,0.8141693770885468
16,mask_40,1,33,0,5,2,S,1,2,1,2,6,0.18181818181818182,0.696969696969697,0.05899493262484501,0.8214803843787222
17,mask_40,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.125,0.004352428808360287,0.8125571757555008
18,mask_40,1,70,0,8,4,E,7,2,7,2,3,0.04285714285714286,0.9142857142857143,0.04963565267107697,0.828035227741514
19,mask_40,1,15,0,8,7,E,4,3,4,3,12,0.8,0.06666666666666667,0.000527234346206266,0.8139519135157267
20,mask_40,1,33,0,8,3,N,3,8,3,8,14,0.42424242424242425,0.0,0.0034051407361320426,0.8190170941930829
21,mask_40,1,24,0,5,1,N,7,6,7,6,15,0.625,0.08333333333333333,0.021676101426625866,0.8128123755256335
22,mask_40,1,12,0,4,8,S,1,6,1,6,7,0.5833333333333334,0.0,0.0007951775069727773,0.8179654578367869
23,mask_40,1,14,0,5,1,N,3,6,3,6,7,0.5,0.14285714285714285,0.0007244897001165944,0.8139848368508475
24,mask_40,1,10,0,8,6,N,4,7,4,7,7,0.7,0.0,0.00010654503307705454,0.8156597912311554
