epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_logvar_coupling,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_logvar_coupling,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
1,2026-06-22 14:17:33,95.24,0.2,4,3,0.5,0.473514,1.618041,0.439568,1.245665,0.123698,0.50015,1.51846,0.2,0.837464,0.744322,5.966384,6.845265,-0.626421,4.052925,0.283406,0.88315,4.661535,0.316888,0.316729,11.25396,0.432402,0.355822,0.061953,0.483718,3.0,4.0,0.511414,1.191307,0.492322,0.862694,0.140308,0.579004,1.13173,0.2,0.993497,0.110967,15.802669,14.349131,0.0,3.791147,0.0,1.134973,4.225795,0.196337,0.501683,10.54604,0.44375,0.380599,0.074089,0.581771,3.0,4.0
2,2026-06-22 14:18:02,29.13,0.4,4,3,0.5,0.819498,0.801599,0.858779,0.567991,0.613785,0.825274,0.768071,0.4,0.87611,0.529428,18.470107,23.837531,-0.644728,1.522128,0.20908,1.014215,3.345551,0.281836,0.824231,5.873291,0.628517,0.525532,0.135919,0.667834,3.0,4.0,0.908057,0.546918,0.964697,0.26624,0.827734,0.913538,0.564671,0.4,0.662315,0.315001,25.536312,33.026504,0.0,0.831031,0.0,0.820953,2.886404,0.183354,1.044307,4.19822,0.665885,0.654948,0.211719,0.670052,3.0,4.0
3,2026-06-22 14:18:31,29.16,0.6,4,3,0.5,0.945045,0.364516,0.981141,0.151794,0.89853,0.948411,0.347371,0.6,0.411759,0.658215,31.009988,31.13428,-0.817876,0.485277,0.196225,0.640627,2.302254,0.274938,0.851137,3.336686,0.678398,0.828457,0.353073,0.694444,3.0,4.0,0.918262,0.313756,0.912109,0.188351,0.806763,0.902307,0.339228,0.6,0.118917,0.592168,36.420324,26.025012,0.0,0.855964,0.0,0.345216,1.984424,0.175376,0.605434,3.581751,0.696224,0.859766,0.430078,0.717708,3.0,4.0
4,2026-06-22 14:19:01,29.35,0.8,4,3,0.5,0.975277,0.161632,0.991474,0.057739,0.954669,0.973115,0.163907,0.8,0.075899,0.715667,33.310342,19.844084,-0.875242,0.216832,0.189786,0.302518,1.285065,0.248227,0.449187,2.019851,0.78651,0.963579,0.593809,0.792184,3.0,4.0,0.873901,0.238388,0.937183,0.124502,0.815991,0.924292,0.237353,0.8,0.056814,0.594107,29.415343,18.701567,0.0,0.9304,0.0,0.243061,1.727342,0.135516,0.465179,3.516707,0.731641,0.922786,0.539844,0.78151,3.0,4.0
5,2026-06-22 14:19:30,29.42,1.0,4,3,0.5,0.982422,0.101109,0.993398,0.039581,0.968447,0.980773,0.106302,1.0,0.046626,0.681635,29.143396,14.402908,-0.888988,0.14763,0.188077,0.217569,0.870755,0.225197,0.288506,1.590607,0.852231,0.98784,0.711288,0.847976,3.0,4.0,0.968127,0.100728,0.967871,0.062831,0.935547,0.962439,0.122101,1.0,0.031755,0.568358,26.880386,12.903214,0.0,0.350066,0.0,0.233575,0.866718,0.091756,0.375944,1.873622,0.880859,0.973307,0.747396,0.848307,3.0,4.0
6,2026-06-22 14:20:00,29.27,1.0,4,3,0.5,0.986637,0.073279,0.994524,0.030886,0.976331,0.985361,0.077913,1.0,0.036844,0.654194,27.316786,10.941998,-0.902472,0.110759,0.185367,0.190649,0.670941,0.213309,0.236935,1.300542,0.889982,0.993056,0.776921,0.879167,3.0,4.0,0.98678,0.058293,0.995898,0.02474,0.979895,0.986584,0.066943,1.0,0.022472,0.417827,26.960919,8.527112,0.0,0.097328,0.0,0.157141,0.530754,0.06372,0.199473,1.032901,0.927604,0.99349,0.839063,0.903646,3.0,4.0
7,2026-06-22 14:20:29,29.3,1.0,4,3,0.5,0.987454,0.061312,0.994991,0.027512,0.978492,0.986374,0.064556,1.0,0.033212,0.619935,25.322232,8.932133,-0.913518,0.101655,0.184932,0.167488,0.53027,0.204955,0.202547,1.131808,0.917007,0.995715,0.830083,0.908673,3.0,4.0,0.975586,0.068121,0.98645,0.031056,0.96123,0.974878,0.083565,1.0,0.025773,0.442828,24.636543,7.708435,0.0,0.213856,0.0,0.193374,0.500256,0.068215,0.191345,1.22148,0.935156,0.992057,0.869661,0.928125,3.0,4.0
8,2026-06-22 14:20:59,29.5,1.0,4,3,0.5,0.988659,0.05203,0.996166,0.022953,0.981146,0.987593,0.054029,1.0,0.030725,0.604794,24.098718,7.391762,-0.923506,0.087131,0.183519,0.153391,0.428327,0.201764,0.175805,0.995028,0.939613,0.995863,0.87333,0.929063,3.0,4.0,0.825647,0.16592,0.910339,0.114637,0.728613,0.862183,0.179716,1.0,0.033933,0.607473,20.435808,16.431876,0.0,1.940818,0.0,0.231292,2.171429,0.098696,1.119245,5.903207,0.819792,0.900911,0.692057,0.811458,3.0,4.0
9,2026-06-22 14:21:28,29.67,1.0,4,3,0.5,0.989335,0.045215,0.995876,0.021333,0.982304,0.988538,0.047232,1.0,0.028712,0.573874,22.642882,6.267886,-0.920597,0.081074,0.180834,0.136939,0.336949,0.193652,0.165003,0.888001,0.956043,0.997784,0.904507,0.944991,3.0,4.0,0.987451,0.036834,0.995886,0.016284,0.982312,0.988782,0.040905,1.0,0.023662,0.338119,22.148916,4.609038,0.0,0.080306,0.0,0.109278,0.181274,0.044198,0.076863,0.646508,0.977474,1.0,0.952604,0.973177,3.0,4.0
10,2026-06-22 14:21:59,30.53,1.0,4,3,0.5,0.988839,0.042516,0.995538,0.021115,0.982524,0.989121,0.042857,1.0,0.027002,0.566115,21.160344,5.403836,-0.93041,0.081307,0.186099,0.124407,0.267383,0.196427,0.129995,0.811628,0.968115,0.998227,0.929979,0.960018,3.0,4.0,0.980798,0.047561,0.992883,0.022685,0.970386,0.976709,0.054243,1.0,0.017802,0.321131,19.454893,4.727563,0.0,0.18932,0.0,0.100853,0.250955,0.037184,0.113636,0.877534,0.969271,1.0,0.941797,0.966927,3.0,4.0
11,2026-06-22 14:22:32,33.18,1.0,6,5,1.0,0.990311,0.03867,0.995977,0.018562,0.984177,0.990009,0.039327,1.0,0.026309,0.592631,23.320284,4.661832,-0.91967,0.072538,0.18184,0.144746,0.311125,0.19302,0.214551,1.17089,0.959894,0.998404,0.920496,0.956259,5.0,6.0,0.981897,0.043175,0.992969,0.021936,0.971643,0.979712,0.052211,1.0,0.01987,0.408339,22.938713,4.617819,0.0,0.159592,0.0,0.195027,0.25511,0.042625,0.172723,1.148019,0.967734,0.999609,0.936328,0.963125,5.0,6.0
12,2026-06-22 14:23:06,33.97,1.0,6,5,1.0,0.990597,0.037989,0.9959,0.017994,0.984339,0.989762,0.038852,1.0,0.023545,0.541693,22.664078,4.290541,-0.920147,0.071592,0.1833,0.116121,0.242635,0.190971,0.145351,1.031366,0.972668,0.999113,0.944025,0.968165,5.0,6.0,0.981519,0.041942,0.989185,0.024092,0.973242,0.981262,0.048659,1.0,0.022194,0.331748,22.557866,4.2672,0.0,0.170129,0.0,0.099474,0.23971,0.036394,0.112532,1.054922,0.979219,0.998047,0.947109,0.963984,5.0,6.0
