trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,baseline,1,14,0,1,5,S,7,5,7,5,10,0.7142857142857143,0.0,0.0001816908902745646,0.6604086799280984
1,baseline,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,0.00010575526954863353,0.6612950425881606
2,baseline,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,0.00011929913334540743,0.661639971865548
3,baseline,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,9.72560135818165e-05,0.6629592905873838
4,baseline,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,0.00015145109018083696,0.662813972343098
5,baseline,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,0.0001246690465345287,0.6611247750429007
6,baseline,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.0002910042654879031,0.6645745905962858
7,baseline,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,0.0004218390794059295,0.6694362418992179
8,baseline,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,0.0001257726125913905,0.6447228342294693
9,baseline,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,0.002526640223954423,0.6612630155351427
10,baseline,1,12,0,8,2,W,1,3,1,3,10,0.8333333333333334,0.0,0.00019481883032312908,0.6618215143680573
11,baseline,1,11,0,7,8,S,3,4,3,4,8,0.7272727272727273,0.0,0.0005926468312612666,0.6566497466780923
12,baseline,0,80,0,1,8,S,7,5,1,8,13,0.0,1.0,0.2254734873684356,0.6605286672711372
13,baseline,1,7,0,3,7,W,1,4,1,4,5,0.7142857142857143,0.0,0.0001900876598353664,0.6543710061482021
14,baseline,1,22,0,4,8,S,8,3,8,3,15,0.6818181818181818,0.0,0.001070735292821403,0.6630141355774619
15,baseline,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,0.0003549501472142375,0.6634703533990043
16,baseline,1,9,0,5,2,S,1,2,1,2,6,0.6666666666666666,0.0,0.00015471650840481743,0.6715174251132541
17,baseline,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,0.0017862975547160431,0.6592029705643654
18,baseline,1,6,0,8,4,E,7,2,7,2,3,0.5,0.0,7.162826902155454e-05,0.6668247580528259
19,baseline,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,0.00010183108430889357,0.659435753027598
20,baseline,1,19,0,8,3,N,3,8,3,8,14,0.7368421052631579,0.0,0.00032363986861427244,0.6637931779811257
21,baseline,1,20,0,5,1,N,7,6,7,6,15,0.75,0.0,0.0006365434783532464,0.6598744422197342
22,baseline,1,12,0,4,8,S,1,6,1,6,7,0.5833333333333334,0.0,0.0019099198383590494,0.6577589611212412
23,baseline,1,10,0,5,1,N,3,6,3,6,7,0.7,0.0,0.0011322011019672118,0.6665398418903351
24,baseline,1,14,0,8,6,N,4,7,4,7,7,0.5,0.0,0.00016543728423000305,0.6583892149584634
0,gauss_low,1,20,0,1,5,S,7,5,7,5,10,0.5,0.1,0.028980358915032412,0.6607267081737518
1,gauss_low,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,7.381438305086564e-05,0.6626315391980685
2,gauss_low,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,0.00012100671160908405,0.6621500386132134
3,gauss_low,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,0.00010173085878329363,0.663619780022165
4,gauss_low,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,0.0001646045121478065,0.6626208803870461
5,gauss_low,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,0.0001358609925213946,0.6628695359596839
6,gauss_low,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.00027305800817471623,0.6647889559919183
7,gauss_low,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,0.0004142011674567974,0.669324517250061
8,gauss_low,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,0.0001034033721225569,0.6448280960321426
9,gauss_low,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,0.0023356194801635866,0.6611623499128554
10,gauss_low,1,12,0,8,2,W,1,3,1,3,10,0.8333333333333334,0.0,0.0002034443131530376,0.6620894074440002
11,gauss_low,1,11,0,7,8,S,3,4,3,4,8,0.7272727272727273,0.0,0.0007650306177889764,0.657031465660442
12,gauss_low,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,0.00035891466391627834,0.6587171899644952
13,gauss_low,1,7,0,3,7,W,1,4,1,4,5,0.7142857142857143,0.0,0.0001472654380449967,0.6550991875784737
14,gauss_low,1,22,0,4,8,S,8,3,8,3,15,0.6818181818181818,0.0,0.0008617282269059698,0.6634350906718861
15,gauss_low,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,0.000361354646721728,0.663933779512133
16,gauss_low,1,9,0,5,2,S,1,2,1,2,6,0.6666666666666666,0.0,8.999841318452834e-05,0.6701246168878343
17,gauss_low,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,0.0017148513845199886,0.6597074940800667
18,gauss_low,1,6,0,8,4,E,7,2,7,2,3,0.5,0.0,8.511835987216425e-05,0.6672996481259664
19,gauss_low,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,8.590553102294507e-05,0.6594231327374777
20,gauss_low,1,19,0,8,3,N,3,8,3,8,14,0.7368421052631579,0.0,0.000334668216846754,0.6643384883278295
21,gauss_low,1,20,0,5,1,N,7,6,7,6,15,0.75,0.0,0.0011039548851869085,0.6601541996002197
22,gauss_low,1,12,0,4,8,S,1,6,1,6,7,0.5833333333333334,0.0,0.0017272140408219154,0.6579239765803019
23,gauss_low,1,10,0,5,1,N,3,6,3,6,7,0.7,0.0,0.0008236269097409377,0.6661463916301728
24,gauss_low,1,14,0,8,6,N,4,7,4,7,7,0.5,0.0,0.00017228687163749003,0.6589549268995013
0,gauss_med,1,14,0,1,5,S,7,5,7,5,10,0.7142857142857143,0.0,0.0009246850394220019,0.6624984528337207
1,gauss_med,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,0.0009540847835383969,0.6652604479056138
2,gauss_med,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,0.00012494233892981456,0.6623256769445207
3,gauss_med,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,0.0005993539612459047,0.6641593264496845
4,gauss_med,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,0.0004703381878140466,0.6670037020336498
5,gauss_med,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,0.00024742524286781333,0.6637133497458237
6,gauss_med,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.0003079693872843398,0.6658509048548612
7,gauss_med,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,0.0005566783165704692,0.6720319901193891
8,gauss_med,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,6.390964040292602e-05,0.6460328251123428
9,gauss_med,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,0.0014829398928668525,0.6643050312995911
10,gauss_med,1,12,0,8,2,W,1,3,1,3,10,0.8333333333333334,0.0,0.0007383186107100906,0.6672458996375402
11,gauss_med,0,80,0,7,8,S,3,4,8,8,8,0.0,1.0,0.0695655473449733,0.690336349606514
12,gauss_med,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,0.0003013115669581997,0.6611421453325372
13,gauss_med,1,7,0,3,7,W,1,4,1,4,5,0.7142857142857143,0.0,0.0003162871197933522,0.6555453709193638
14,gauss_med,1,22,0,4,8,S,8,3,8,3,15,0.6818181818181818,0.0,9.02662016787045e-05,0.664000698111274
15,gauss_med,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,0.0004653718484145689,0.6641191669872829
16,gauss_med,1,9,0,5,2,S,1,2,1,2,6,0.6666666666666666,0.0,0.00024282575269454456,0.6718084679709541
17,gauss_med,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,0.002668631927285503,0.6585828922688961
18,gauss_med,1,6,0,8,4,E,7,2,7,2,3,0.5,0.0,0.00011575259069710835,0.6704167326291403
19,gauss_med,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,0.00014396861303490974,0.6624173521995544
20,gauss_med,1,19,0,8,3,N,3,8,3,8,14,0.7368421052631579,0.0,0.001335724546033876,0.6685809398952284
21,gauss_med,1,20,0,5,1,N,7,6,7,6,15,0.75,0.0,0.0008499873842708894,0.6614702433347702
22,gauss_med,1,12,0,4,8,S,1,6,1,6,7,0.5833333333333334,0.0,0.009021371023436586,0.6591280847787857
23,gauss_med,1,10,0,5,1,N,3,6,3,6,7,0.7,0.0,0.0013332222076201106,0.6682326972484589
24,gauss_med,1,14,0,8,6,N,4,7,4,7,7,0.5,0.0,0.00024942320073608116,0.6610603630542755
0,gauss_hi,1,16,0,1,5,S,7,5,7,5,10,0.625,0.0,0.008006442172501238,0.6700596809387207
1,gauss_hi,0,80,0,8,1,S,1,4,6,1,10,0.0,1.0,0.11770803965782761,0.6849754296243191
2,gauss_hi,1,25,0,5,3,S,8,7,8,7,13,0.52,0.0,0.06022643258613016,0.6640073752403259
3,gauss_hi,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,0.004874394010011715,0.6704326012860173
4,gauss_hi,1,13,0,5,3,W,1,6,1,6,7,0.5384615384615384,0.0,0.009927337395993163,0.6766567230224609
5,gauss_hi,0,80,0,4,8,E,5,2,8,8,9,0.0,1.0,0.05360133873045925,0.6883658826351166
6,gauss_hi,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.014137512430352217,0.6691240993413058
7,gauss_hi,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,0.006653857690772773,0.6810826233455113
8,gauss_hi,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,0.007997856130259606,0.6464347243309021
9,gauss_hi,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,0.0377128112791575,0.6733569569057889
10,gauss_hi,1,28,0,8,2,W,1,3,1,3,10,0.35714285714285715,0.7857142857142857,0.19399969503055153,0.6795658937522343
11,gauss_hi,0,80,0,7,8,S,3,4,4,7,8,0.0,1.0,0.15770292837696614,0.6656354025006295
12,gauss_hi,0,80,5,1,8,S,7,5,1,8,13,0.0,1.0,0.14115705079802865,0.6873699270188809
13,gauss_hi,1,7,0,3,7,W,1,4,1,4,5,0.7142857142857143,0.0,0.003952484523227083,0.6629211987767901
14,gauss_hi,1,58,0,4,8,S,8,3,8,3,15,0.25862068965517243,0.4827586206896552,0.21484055858642367,0.6714513291572702
15,gauss_hi,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.21428571428571427,0.08320664806530788,0.6712922368730817
16,gauss_hi,0,80,0,5,2,S,1,2,4,3,6,0.0,0.9875,0.062147102299786636,0.6892909228801727
17,gauss_hi,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,0.00845822540793506,0.6609885692596436
18,gauss_hi,1,6,0,8,4,E,7,2,7,2,3,0.5,0.0,0.0027635174677319205,0.6788368125756582
