trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,combined,1,14,0,1,5,S,7,5,7,5,10,0.7142857142857143,0.0,0.002883764277060306,0.6600871469293322
1,combined,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,0.00012101451747744599,0.6660732351816617
2,combined,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,0.0009441141754804347,0.6642410424020555
3,combined,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,0.0027269351162628836,0.664853712786799
4,combined,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,0.00024070943137324073,0.6650802384723317
5,combined,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,0.0009880928140983786,0.665040007004371
6,combined,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.0004407269060803546,0.6649175015362826
7,combined,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,0.00046854900652501134,0.6716383269854954
8,combined,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,0.0014911968755768612,0.647227019071579
9,combined,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,0.0035747546413757744,0.6655225687556796
10,combined,1,12,0,8,2,W,1,3,1,3,10,0.8333333333333334,0.0,0.00019323843109949243,0.6631062626838684
11,combined,1,15,0,7,8,S,3,4,3,4,8,0.5333333333333333,0.13333333333333333,0.08748453534714523,0.6570070385932922
12,combined,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,0.00019325491286125676,0.6622627753960458
13,combined,1,7,0,3,7,W,1,4,1,4,5,0.7142857142857143,0.0,0.00045041830597775904,0.6619149446487427
14,combined,1,22,0,4,8,S,8,3,8,3,15,0.6818181818181818,0.0,0.002170650963349048,0.6649032424796711
15,combined,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,0.003232377073459247,0.6677366111959729
16,combined,1,9,0,5,2,S,1,2,1,2,6,0.6666666666666666,0.0,8.961883625286444e-05,0.6718718873129951
17,combined,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,0.0004570788176998519,0.6600816920399666
18,combined,1,6,0,8,4,E,7,2,7,2,3,0.5,0.0,0.00017089280724273218,0.6706256965796152
19,combined,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,0.00016386536957118853,0.6613151550292968
20,combined,1,19,0,8,3,N,3,8,3,8,14,0.7368421052631579,0.0,0.0005999635554602671,0.6677900082186649
21,combined,1,20,0,5,1,N,7,6,7,6,15,0.75,0.0,0.000846593810382501,0.6613723784685135
22,combined,1,12,0,4,8,S,1,6,1,6,7,0.5833333333333334,0.0,0.00834041957326311,0.6609258105357488
23,combined,1,10,0,5,1,N,3,6,3,6,7,0.7,0.0,0.0016107219768400683,0.6694209396839141
24,combined,1,14,0,8,6,N,4,7,4,7,7,0.5,0.0,0.0002466040565910329,0.6621279759066445
