trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,gauss_hi,1,16,0,1,5,S,7,5,7,5,10,0.625,0.0,0.008006442172501238,0.6700596809387207
1,gauss_hi,0,80,0,8,1,S,1,4,6,1,10,0.0,1.0,0.11770803965782761,0.6849754296243191
2,gauss_hi,1,25,0,5,3,S,8,7,8,7,13,0.52,0.0,0.06022643258613016,0.6640073752403259
3,gauss_hi,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,0.004874394010011715,0.6704326012860173
4,gauss_hi,1,13,0,5,3,W,1,6,1,6,7,0.5384615384615384,0.0,0.009927337395993163,0.6766567230224609
5,gauss_hi,0,80,0,4,8,E,5,2,8,8,9,0.0,1.0,0.05360133873045925,0.6883658826351166
6,gauss_hi,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.014137512430352217,0.6691240993413058
7,gauss_hi,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,0.006653857690772773,0.6810826233455113
8,gauss_hi,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,0.007997856130259606,0.6464347243309021
9,gauss_hi,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,0.0377128112791575,0.6733569569057889
10,gauss_hi,1,28,0,8,2,W,1,3,1,3,10,0.35714285714285715,0.7857142857142857,0.19399969503055153,0.6795658937522343
11,gauss_hi,0,80,0,7,8,S,3,4,4,7,8,0.0,1.0,0.15770292837696614,0.6656354025006295
12,gauss_hi,0,80,5,1,8,S,7,5,1,8,13,0.0,1.0,0.14115705079802865,0.6873699270188809
13,gauss_hi,1,7,0,3,7,W,1,4,1,4,5,0.7142857142857143,0.0,0.003952484523227083,0.6629211987767901
14,gauss_hi,1,58,0,4,8,S,8,3,8,3,15,0.25862068965517243,0.4827586206896552,0.21484055858642367,0.6714513291572702
15,gauss_hi,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.21428571428571427,0.08320664806530788,0.6712922368730817
16,gauss_hi,0,80,0,5,2,S,1,2,4,3,6,0.0,0.9875,0.062147102299786636,0.6892909228801727
17,gauss_hi,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,0.00845822540793506,0.6609885692596436
18,gauss_hi,1,6,0,8,4,E,7,2,7,2,3,0.5,0.0,0.0027635174677319205,0.6788368125756582
19,gauss_hi,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,0.047394493933158324,0.6645484407742818
20,gauss_hi,1,23,0,8,3,N,3,8,3,8,14,0.6086956521739131,0.4782608695652174,0.21276248870283918,0.6722642312879148
21,gauss_hi,1,24,0,5,1,N,7,6,7,6,15,0.625,0.3333333333333333,0.12814316749953983,0.6695274660984675
22,gauss_hi,0,80,0,4,8,S,1,6,3,8,7,0.0,0.975,0.03178626642784366,0.6885678306221962
23,gauss_hi,0,80,0,5,1,N,3,6,6,3,7,0.0,1.0,0.149128331526299,0.6760440669953823
24,gauss_hi,0,80,0,8,6,N,4,7,8,8,7,0.0,0.875,0.11467915152097703,0.6871876046061516
