trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,baseline,1,14,0,1,5,S,7,5,7,5,10,0.7142857142857143,0.0,0.00016518762488106274,0.6860830272947039
1,baseline,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,0.0002114918987235097,0.6911725539427537
2,baseline,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,0.0008926237350566327,0.6860027379459805
3,baseline,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,8.505749231655658e-05,0.6851902474527773
4,baseline,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,0.0005085873499617512,0.6873134103688326
5,baseline,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,0.0001455430765658478,0.687624087700477
6,baseline,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.00012075757349934561,0.6865277127786116
7,baseline,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,0.0005882228664891695,0.6937030979565212
8,baseline,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,0.00013094331825413974,0.6796202510595322
9,baseline,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,0.0011629220655069933,0.69284454981486
10,baseline,1,12,0,8,2,W,1,3,1,3,10,0.8333333333333334,0.0,0.000667751129753924,0.6914118478695551
11,baseline,1,11,0,7,8,S,3,4,3,4,8,0.7272727272727273,0.0,0.0004733371700896524,0.6815248727798462
12,baseline,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,0.0014320032661436543,0.6854509366186041
13,baseline,1,7,0,3,7,W,1,4,1,4,5,0.7142857142857143,0.0,0.00043414737634910646,0.6826650329998561
14,baseline,0,80,0,4,8,S,8,3,5,2,15,0.0,0.0,0.06927502729617174,0.6974997758865357
15,baseline,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,0.00028842806981239325,0.6905531414917537
16,baseline,1,13,0,5,2,S,1,2,1,2,6,0.46153846153846156,0.23076923076923078,0.02331626066881234,0.6959467713649456
17,baseline,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,0.0005067346410356777,0.6853265278041363
18,baseline,1,6,0,8,4,E,7,2,7,2,3,0.5,0.0,3.571908409701526e-05,0.6892344951629639
19,baseline,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,7.346611584466701e-05,0.6845496575037638
20,baseline,1,19,0,8,3,N,3,8,3,8,14,0.7368421052631579,0.0,0.0004607781399460907,0.6880182372896295
21,baseline,1,20,0,5,1,N,7,6,7,6,15,0.75,0.0,0.0003916042439300327,0.6842468708753586
22,baseline,1,12,0,4,8,S,1,6,1,6,7,0.5833333333333334,0.0,0.0003562195012041987,0.685467983285586
23,baseline,1,10,0,5,1,N,3,6,3,6,7,0.7,0.0,0.0004187680388184845,0.6890299916267395
24,baseline,1,10,0,8,6,N,4,7,4,7,7,0.7,0.0,0.00017665221730567282,0.6847822964191437
