trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,combined,1,14,0,1,5,S,7,5,7,5,10,0.7142857142857143,0.0,0.00014619557087363383,0.6875771795000348
1,combined,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,0.0001631573604404716,0.6892059720479525
2,combined,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,0.0007125088558173805,0.685494042105145
3,combined,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,0.00010851877274954741,0.6879215603289397
4,combined,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,0.0027332291150915207,0.6880292350595648
5,combined,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,4.731349174737541e-05,0.6876960534315842
6,combined,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.00027102550606369647,0.6869672374291853
7,combined,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,0.0011583512631269904,0.6907190339905875
8,combined,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,0.00013294910377226188,0.6788482517004013
9,combined,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,0.0013601351436768204,0.6919484535853068
10,combined,1,12,0,8,2,W,1,3,1,3,10,0.8333333333333334,0.0,0.0005860365983873331,0.6901229520638784
11,combined,1,11,0,7,8,S,3,4,3,4,8,0.7272727272727273,0.0,0.00029582078445855586,0.679662671956149
12,combined,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,0.0001162076337095641,0.6855802943831996
13,combined,1,7,0,3,7,W,1,4,1,4,5,0.7142857142857143,0.0,0.0002693916446137986,0.6842300295829773
14,combined,0,80,0,4,8,S,8,3,5,2,15,0.0,0.0,0.011193037000705886,0.6911904692649842
15,combined,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,0.00022414854519021383,0.6893920941012246
16,combined,1,9,0,5,2,S,1,2,1,2,6,0.6666666666666666,0.0,0.0017338980763068118,0.6962831483946906
17,combined,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,0.00031693636148588666,0.6853696964681149
18,combined,1,6,0,8,4,E,7,2,7,2,3,0.5,0.0,4.3392166593510716e-05,0.6914779742558798
19,combined,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,4.1402366537113264e-05,0.6844435056050618
20,combined,1,19,0,8,3,N,3,8,3,8,14,0.7368421052631579,0.0,0.000488205859204826,0.6862430697993228
21,combined,1,20,0,5,1,N,7,6,7,6,15,0.75,0.0,0.00046003048150282665,0.683366447687149
22,combined,1,12,0,4,8,S,1,6,1,6,7,0.5833333333333334,0.0,0.0004096448138568576,0.6877265125513077
23,combined,1,10,0,5,1,N,3,6,3,6,7,0.7,0.0,0.0010455859578542004,0.6885492146015167
24,combined,1,10,0,8,6,N,4,7,4,7,7,0.7,0.0,0.0001740411598348146,0.6837135076522827
