trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,gauss_low,1,14,0,1,5,S,7,5,7,5,10,0.7142857142857143,0.0,0.00016993653664647873,0.6861113735607692
1,gauss_low,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,0.00015227956462765107,0.6916131881567148
2,gauss_low,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,0.0006142694669332766,0.6854696042007871
3,gauss_low,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,7.79628729491299e-05,0.6851258614788884
4,gauss_low,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,0.0004444704488057803,0.6879431334408846
5,gauss_low,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,9.404154767786658e-05,0.687774080496568
6,gauss_low,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.00012516560311517176,0.6872009905901822
7,gauss_low,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,0.00041001815160208413,0.6922357763562884
8,gauss_low,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,0.0001286909989630658,0.679651215672493
9,gauss_low,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,0.0013010690019857269,0.6931709978315566
10,gauss_low,1,12,0,8,2,W,1,3,1,3,10,0.8333333333333334,0.0,0.00045958822909142327,0.6917744775613149
11,gauss_low,1,11,0,7,8,S,3,4,3,4,8,0.7272727272727273,0.0,0.0004421094403322844,0.6804394288496538
12,gauss_low,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,0.0003327958807696967,0.6860463462377849
13,gauss_low,1,7,0,3,7,W,1,4,1,4,5,0.7142857142857143,0.0,0.0003411556528395262,0.6833365133830479
14,gauss_low,0,80,0,4,8,S,8,3,5,2,15,0.0,0.0,0.03099479561366607,0.6946730315685272
15,gauss_low,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,0.00030108193435905505,0.6907017529010773
16,gauss_low,1,9,0,5,2,S,1,2,1,2,6,0.6666666666666666,0.0,0.007320644518333413,0.6973791850937737
17,gauss_low,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,0.0004161553439274712,0.68570950999856
18,gauss_low,1,6,0,8,4,E,7,2,7,2,3,0.5,0.0,3.349261596360028e-05,0.6888551115989685
19,gauss_low,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,6.34988928140956e-05,0.6844121774037679
20,gauss_low,1,19,0,8,3,N,3,8,3,8,14,0.7368421052631579,0.0,0.0004183881510770286,0.6875557836733366
21,gauss_low,1,20,0,5,1,N,7,6,7,6,15,0.75,0.0,0.0004012649561929038,0.6847430855035782
22,gauss_low,1,12,0,4,8,S,1,6,1,6,7,0.5833333333333334,0.0,0.00031512511219015477,0.6856319357951483
23,gauss_low,1,10,0,5,1,N,3,6,3,6,7,0.7,0.0,0.0004664673684033005,0.688268119096756
24,gauss_low,1,10,0,8,6,N,4,7,4,7,7,0.7,0.0,0.0001711796106633301,0.6832363426685333
