trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,gauss_med,1,14,0,1,5,S,7,5,7,5,10,0.7142857142857143,0.0,0.0001630694507477009,0.687014273234776
1,gauss_med,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,0.0001896673353747666,0.6910491952529321
2,gauss_med,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,0.0005215335898769683,0.6857374442948235
3,gauss_med,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,8.252651878879276e-05,0.6873280380083167
4,gauss_med,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,0.0007900555080843994,0.6886794350363992
5,gauss_med,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,7.238657270118683e-05,0.6886069591228778
6,gauss_med,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.00014704003755964962,0.6866707856004889
7,gauss_med,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,0.0006007497058817535,0.6930595806666783
8,gauss_med,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,0.00014587898886020412,0.6795594096183777
9,gauss_med,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,0.0014412479772040064,0.696294731563992
10,gauss_med,1,12,0,8,2,W,1,3,1,3,10,0.8333333333333334,0.0,0.0004279472815369445,0.693042149146398
11,gauss_med,1,11,0,7,8,S,3,4,3,4,8,0.7272727272727273,0.0,0.00032579625448389294,0.6802936413071372
12,gauss_med,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,0.0002561187462220005,0.6857520530098363
13,gauss_med,1,7,0,3,7,W,1,4,1,4,5,0.7142857142857143,0.0,0.00026995805189601797,0.6848478828157697
14,gauss_med,0,80,0,4,8,S,8,3,5,2,15,0.0,0.0,0.012199969980854064,0.6913630470633507
15,gauss_med,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,0.0003879461321340776,0.6908720689160484
16,gauss_med,1,9,0,5,2,S,1,2,1,2,6,0.6666666666666666,0.0,0.002143184278692287,0.6975001825226678
17,gauss_med,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,0.0003432431168448602,0.6861049830913544
18,gauss_med,1,8,0,8,4,E,7,2,7,2,3,0.375,0.375,0.13216525263184575,0.6888422146439552
19,gauss_med,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,8.514963769054399e-05,0.6855118751525879
20,gauss_med,1,19,0,8,3,N,3,8,3,8,14,0.7368421052631579,0.0,0.0003710881665148535,0.6869603960137618
21,gauss_med,1,20,0,5,1,N,7,6,7,6,15,0.75,0.0,0.00039976184767738233,0.6841699063777924
22,gauss_med,1,12,0,4,8,S,1,6,1,6,7,0.5833333333333334,0.0,0.00035032914695657763,0.6877172191937765
23,gauss_med,1,10,0,5,1,N,3,6,3,6,7,0.7,0.0,0.0004963378867898882,0.6872881412506103
24,gauss_med,1,10,0,8,6,N,4,7,4,7,7,0.7,0.0,0.00012628166290369337,0.6818468391895294
