trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,mask_40,1,14,0,1,5,S,7,5,7,5,10,0.7142857142857143,0.0,0.00019475570772442552,0.6869423261710575
1,mask_40,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,9.53748648358809e-05,0.6897735228905311
2,mask_40,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,0.0010790410368599623,0.6864236460791694
3,mask_40,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,0.000303595490829198,0.6866432246954545
4,mask_40,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,0.0005448652576402227,0.6893959749828685
5,mask_40,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,0.0001001193048838244,0.6888142273976252
6,mask_40,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.0003185835568977134,0.6880012208765204
7,mask_40,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,0.004763078822309451,0.689448859010424
8,mask_40,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,0.0006998431163083296,0.6813857108354568
9,mask_40,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,0.0017917669435973949,0.6917912695142958
10,mask_40,1,12,0,8,2,W,1,3,1,3,10,0.8333333333333334,0.0,0.00013756483258475782,0.6902124285697937
11,mask_40,1,11,0,7,8,S,3,4,3,4,8,0.7272727272727273,0.0,0.005882129907170317,0.6784195737405256
12,mask_40,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,0.00030805360874135087,0.6867342842252631
13,mask_40,1,7,0,3,7,W,1,4,1,4,5,0.7142857142857143,0.0,0.00018533864645827895,0.6847295335360936
14,mask_40,0,80,0,4,8,S,8,3,5,2,15,0.0,0.0,0.0373321195915949,0.6949561290442944
15,mask_40,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,0.0009828237439738327,0.6904746677194323
16,mask_40,1,9,0,5,2,S,1,2,1,2,6,0.6666666666666666,0.0,0.018823530261215637,0.698786371284061
17,mask_40,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,0.0004004883673758286,0.6836489699780941
18,mask_40,1,8,0,8,4,E,7,2,7,2,3,0.375,0.625,0.0874228356765343,0.6876148208975792
19,mask_40,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,5.214238388665156e-05,0.6854781786600749
20,mask_40,1,19,0,8,3,N,3,8,3,8,14,0.7368421052631579,0.0,0.0009248718079884623,0.686835201163041
21,mask_40,1,20,0,5,1,N,7,6,7,6,15,0.75,0.0,0.014782170499142922,0.6834765195846557
22,mask_40,1,12,0,4,8,S,1,6,1,6,7,0.5833333333333334,0.0,0.0002445344373569469,0.6886452237764994
23,mask_40,1,10,0,5,1,N,3,6,3,6,7,0.7,0.0,0.001065181802295001,0.6883169054985047
24,mask_40,1,10,0,8,6,N,4,7,4,7,7,0.7,0.0,0.00018018763867075905,0.6840523838996887
