Logging to: /home/nitish/Documents/AIF_code/Active-Inference/Symbolic_AIF_v6/habitat_adapter/../results/demo_20260622_130928.txt

Device : cuda
Loading WorldModelV6 (Faster R-CNN + EKF)... OK  (248,064 learnable params)
Starting Habitat-Sim... OK

Start pose (V6) : (2.02, -0.94, 0.0°)
Goal  (V6)      : (-3.15, -5.36)
Geodesic dist   : infm

Step |  Action |               Pose (x, y, θ) | GoalDist | Dets | Slots |     ms
--------------------------------------------------------------------------------
   1 |  TURN_R | (  2.02,  -0.94,   0.0°) |    6.800m |    0 |     0 |    433
   2 |  TURN_R | (  2.02,  -0.94, -60.0°) |    6.800m |    0 |     0 |     81
   3 | FORWARD | (  2.02,  -0.94, -120.0°) |    6.800m |    1 |     1 |     54
   4 | FORWARD | (  2.02,  -1.37, -120.0°) |    6.526m |    1 |     1 |     51
   5 | FORWARD | (  1.98,  -1.87, -120.0°) |    6.200m |    2 |     2 |     47
   6 | FORWARD | (  1.86,  -2.30, -120.0°) |    5.863m |    1 |     2 |     47
   7 | FORWARD | (  1.74,  -2.74, -120.0°) |    5.542m |    0 |     2 |     45
   8 |  TURN_R | (  1.62,  -3.18, -120.0°) |    5.240m |    0 |     2 |     44
   9 | FORWARD | (  1.44,  -3.24, 180.0°) |    5.052m |    1 |     2 |     44
  10 | FORWARD | (  1.14,  -3.54, 180.0°) |    4.653m |    1 |     2 |     44
  11 | FORWARD | (  0.84,  -3.79, 180.0°) |    4.284m |    1 |     2 |     44
  12 | FORWARD | (  0.56,  -4.08, 180.0°) |    3.921m |    1 |     2 |     44
  13 | FORWARD | (  0.31,  -4.33, 180.0°) |    3.606m |    0 |     2 |     44
  14 | FORWARD | (  0.06,  -4.58, 180.0°) |    3.300m |    2 |     4 |     45
  15 | FORWARD | ( -0.19,  -4.83, 180.0°) |    3.004m |    1 |     4 |     44
  16 | FORWARD | ( -0.44,  -5.08, 180.0°) |    2.721m |    0 |     4 |     43
  17 | FORWARD | ( -0.69,  -5.33, 180.0°) |    2.458m |    0 |     4 |     43
  18 | FORWARD | ( -0.94,  -5.58, 180.0°) |    2.219m |    0 |     4 |     44
  19 | FORWARD | ( -1.19,  -5.84, 180.0°) |    2.015m |    1 |     4 |     45
  20 | FORWARD | ( -1.44,  -6.09, 180.0°) |    1.857m |    0 |     4 |     43
  21 |  TURN_R | ( -1.69,  -6.34, 180.0°) |    1.758m |    0 |     4 |     43
  22 |  TURN_L | ( -1.69,  -6.34, 120.0°) |    1.758m |    0 |     4 |     43
  23 |  TURN_R | ( -1.69,  -6.34, 180.0°) |    1.758m |    0 |     4 |     43
  24 |  TURN_L | ( -1.69,  -6.34, 120.0°) |    1.758m |    0 |     4 |     43
  25 |  TURN_R | ( -1.69,  -6.34, 180.0°) |    1.758m |    0 |     4 |     43
  26 |  TURN_L | ( -1.69,  -6.34, 120.0°) |    1.758m |    0 |     4 |     43
  27 |  TURN_R | ( -1.69,  -6.34, 180.0°) |    1.758m |    0 |     4 |     43
  28 |  TURN_L | ( -1.69,  -6.34, 120.0°) |    1.758m |    0 |     4 |     43
  29 |  TURN_R | ( -1.69,  -6.34, 180.0°) |    1.758m |    0 |     4 |     43
  30 |  TURN_L | ( -1.69,  -6.34, 120.0°) |    1.758m |    0 |     4 |     44
  31 |  TURN_R | ( -1.69,  -6.34, 180.0°) |    1.758m |    0 |     4 |     44
  32 |  TURN_L | ( -1.69,  -6.34, 120.0°) |    1.758m |    0 |     4 |     43
  33 |  TURN_R | ( -1.69,  -6.34, 180.0°) |    1.758m |    0 |     4 |     43
  34 |  TURN_L | ( -1.69,  -6.34, 120.0°) |    1.758m |    0 |     4 |     43
  35 |  TURN_R | ( -1.69,  -6.34, 180.0°) |    1.758m |    0 |     4 |     43
  36 |  TURN_L | ( -1.69,  -6.34, 120.0°) |    1.758m |    0 |     4 |     44
  37 |  TURN_R | ( -1.69,  -6.34, 180.0°) |    1.758m |    0 |     4 |     43
  38 |  TURN_L | ( -1.69,  -6.34, 120.0°) |    1.758m |    0 |     4 |     42
  39 |  TURN_R | ( -1.69,  -6.34, 180.0°) |    1.758m |    0 |     4 |     43
  40 |  TURN_L | ( -1.69,  -6.34, 120.0°) |    1.758m |    0 |     4 |     43
  41 |  TURN_R | ( -1.69,  -6.34, 180.0°) |    1.758m |    0 |     4 |     43
  42 |  TURN_L | ( -1.69,  -6.34, 120.0°) |    1.758m |    0 |     4 |     43
  43 |  TURN_R | ( -1.69,  -6.34, 180.0°) |    1.758m |    0 |     4 |     43
  44 |  TURN_L | ( -1.69,  -6.34, 120.0°) |    1.758m |    0 |     4 |     43
  45 |  TURN_R | ( -1.69,  -6.34, 180.0°) |    1.758m |    0 |     4 |     43
  46 |  TURN_L | ( -1.69,  -6.34, 120.0°) |    1.758m |    0 |     4 |     43
