Logging to: /home/nitish/Documents/AIF_code/Active-Inference/Symbolic_AIF_v6/habitat_adapter/../results/demo_20260622_142236.txt

Device : cuda
Loading WorldModelV6 (Faster R-CNN + EKF)... OK  (248,064 learnable params)
Starting Habitat-Sim... OK

Start pose (V6) : (2.02, -0.94, 0.0°)
Goal  (V6)      : (-2.57, 0.81)
Geodesic dist   : infm

Step |  Action |               Pose (x, y, θ) | GoalDist | Dets | Slots |     ms
--------------------------------------------------------------------------------
   1 |  TURN_L | (  2.02,  -0.94,   0.0°) |    4.909m |    0 |     0 |    562
   2 |  TURN_L | (  2.02,  -0.94,  30.0°) |    4.909m |    0 |     0 |     89
   3 |  TURN_L | (  2.02,  -0.94,  60.0°) |    4.909m |    0 |     0 |    179
   4 |  TURN_L | (  2.02,  -0.94,  90.0°) |    4.909m |    0 |     0 |     90
   5 |  TURN_L | (  2.02,  -0.94, 120.0°) |    4.909m |    0 |     0 |     86
   6 | FORWARD | (  2.02,  -0.94, 150.0°) |    4.909m |    1 |     1 |    138
   7 | FORWARD | (  1.81,  -0.81, 150.0°) |    4.663m |    0 |     1 |    124
   8 | FORWARD | (  1.59,  -0.69, 150.0°) |    4.416m |    0 |     1 |    110
   9 | FORWARD | (  1.37,  -0.56, 150.0°) |    4.171m |    0 |     1 |    107
  10 | FORWARD | (  1.16,  -0.44, 150.0°) |    3.925m |    0 |     1 |     93
  11 | FORWARD | (  0.94,  -0.31, 150.0°) |    3.681m |    0 |     1 |    124
  12 | FORWARD | (  0.71,  -0.18, 150.0°) |    3.424m |    1 |     1 |    129
  13 | FORWARD | (  0.47,  -0.05, 150.0°) |    3.157m |    1 |     1 |    106
  14 | FORWARD | (  0.26,   0.08, 150.0°) |    2.915m |    0 |     1 |    119
  15 | FORWARD | (  0.04,   0.20, 150.0°) |    2.675m |    0 |     1 |     98
  16 | FORWARD | ( -0.18,   0.33, 150.0°) |    2.437m |    1 |     2 |    120
  17 |  TURN_L | ( -0.39,   0.45, 150.0°) |    2.201m |    0 |     2 |    112
  18 | FORWARD | ( -0.39,   0.45, 180.0°) |    2.201m |    0 |     2 |     81
  19 | FORWARD | ( -0.64,   0.45, 180.0°) |    1.955m |    0 |     2 |    112
  20 | FORWARD | ( -0.89,   0.45, 180.0°) |    1.710m |    0 |     2 |    124
  21 | FORWARD | ( -1.14,   0.45, 180.0°) |    1.466m |    0 |     2 |    116
  22 | FORWARD | ( -1.40,   0.45, 180.0°) |    1.220m |    2 |     3 |    104
  23 |  TURN_L | ( -1.65,   0.45, 180.0°) |    0.984m |    0 |     3 |    106
  24 | FORWARD | ( -1.65,   0.45, -150.0°) |    0.984m |    0 |     3 |    115
  25 |  TURN_L | ( -1.87,   0.32, -150.0°) |    0.852m |    0 |     3 |    124
  26 |  TURN_R | ( -1.87,   0.31, -120.0°) |    0.853m |    1 |     3 |    128
  27 |  TURN_R | ( -1.87,   0.31, -150.0°) |    0.853m |    0 |     3 |     93
  28 | FORWARD | ( -1.87,   0.31, -180.0°) |    0.853m |    0 |     3 |     96
  29 |  TURN_L | ( -2.12,   0.31, -180.0°) |    0.667m |    0 |     3 |    122
  30 | FORWARD | ( -2.12,   0.31, -150.0°) |    0.667m |    2 |     5 |    127
  31 | FORWARD | ( -2.34,   0.19, -150.0°) |    0.664m |    0 |     5 |    108
  32 |  TURN_R | ( -2.55,   0.05, -150.0°) |    0.760m |    2 |     5 |    116
  33 |  TURN_R | ( -2.55,   0.05, -180.0°) |    0.760m |    0 |     5 |    100
  34 |  TURN_R | ( -2.55,   0.05, 150.0°) |    0.760m |    0 |     5 |    119
  35 |  TURN_R | ( -2.55,   0.05, 120.0°) |    0.760m |    0 |     5 |    114
  36 |  TURN_R | ( -2.55,   0.05,  90.0°) |    0.760m |    0 |     5 |     81
  37 |  TURN_L | ( -2.55,   0.05,  60.0°) |    0.760m |    0 |     5 |    110
  38 |  TURN_R | ( -2.55,   0.05,  90.0°) |    0.760m |    0 |     5 |    127
  39 |  TURN_L | ( -2.55,   0.05,  60.0°) |    0.760m |    0 |     5 |    133
  40 |  TURN_R | ( -2.55,   0.05,  90.0°) |    0.760m |    0 |     5 |    110
  41 |  TURN_L | ( -2.55,   0.05,  60.0°) |    0.760m |    0 |     5 |    105
  42 |  TURN_R | ( -2.55,   0.05,  90.0°) |    0.760m |    0 |     5 |    123
  43 |  TURN_L | ( -2.55,   0.05,  60.0°) |    0.760m |    0 |     5 |     97
  44 |  TURN_R | ( -2.55,   0.05,  90.0°) |    0.760m |    0 |     5 |    122
  45 |  TURN_L | ( -2.55,   0.05,  60.0°) |    0.760m |    0 |     5 |    119
  46 |  TURN_R | ( -2.55,   0.05,  90.0°) |    0.760m |    0 |     5 |     98
  47 |  TURN_L | ( -2.55,   0.05,  60.0°) |    0.760m |    0 |     5 |    123
  48 |  TURN_R | ( -2.55,   0.05,  90.0°) |    0.760m |    0 |     5 |     98
  49 |  TURN_L | ( -2.55,   0.05,  60.0°) |    0.760m |    0 |     5 |    123
  50 |  TURN_R | ( -2.55,   0.05,  90.0°) |    0.760m |    0 |     5 |    125
  51 |  TURN_L | ( -2.55,   0.05,  60.0°) |    0.760m |    0 |     5 |    104
  52 |  TURN_R | ( -2.55,   0.05,  90.0°) |    0.760m |    0 |     5 |    115
  53 |  TURN_L | ( -2.55,   0.05,  60.0°) |    0.760m |    0 |     5 |     97
  54 |  TURN_R | ( -2.55,   0.05,  90.0°) |    0.760m |    0 |     5 |    122
  55 |  TURN_L | ( -2.55,   0.05,  60.0°) |    0.760m |    0 |     5 |    126
  56 |  TURN_R | ( -2.55,   0.05,  90.0°) |    0.760m |    0 |     5 |     92
  57 |  TURN_L | ( -2.55,   0.05,  60.0°) |    0.760m |    0 |     5 |    127
  58 |  TURN_R | ( -2.55,   0.05,  90.0°) |    0.760m |    0 |     5 |     99
  59 |  TURN_L | ( -2.55,   0.05,  60.0°) |    0.760m |    0 |     5 |    122
  60 |  TURN_R | ( -2.55,   0.05,  90.0°) |    0.760m |    0 |     5 |    112
  61 |  TURN_L | ( -2.55,   0.05,  60.0°) |    0.760m |    0 |     5 |     80
  62 |  TURN_R | ( -2.55,   0.05,  90.0°) |    0.760m |    0 |     5 |    113
  63 |  TURN_L | ( -2.55,   0.05,  60.0°) |    0.760m |    0 |     5 |    128
  64 |  TURN_R | ( -2.55,   0.05,  90.0°) |    0.760m |    0 |     5 |    131
  65 |  TURN_L | ( -2.55,   0.05,  60.0°) |    0.760m |    0 |     5 |    124
  66 |  TURN_R | ( -2.55,   0.05,  90.0°) |    0.760m |    0 |     5 |     88
  67 |  TURN_L | ( -2.55,   0.05,  60.0°) |    0.760m |    0 |     5 |    122
  68 |  TURN_R | ( -2.55,   0.05,  90.0°) |    0.760m |    0 |     5 |    110
