trial,success,reason,start_pose,goal_pos,final_pose,steps,collisions,final_filtered_pose
0,True,ok,"(5, 7, 'S')","(1, 7)","(1, 7, 'E')",15,0,"(1, 6, 'E')"
1,True,ok,"(1, 3, 'W')","(7, 5)","(7, 5, 'S')",19,0,"(6, 5, 'S')"
2,False,max_steps,"(7, 6, 'S')","(5, 1)","(5, 5, 'E')",80,0,"(5, 5, 'N')"
3,True,ok,"(1, 4, 'E')","(2, 1)","(2, 1, 'S')",7,0,"(1, 1, 'S')"
4,False,max_steps,"(5, 1, 'S')","(8, 8)","(5, 3, 'S')",80,0,"(4, 3, 'S')"
5,True,ok,"(3, 7, 'E')","(1, 1)","(1, 1, 'W')",12,0,"(1, 2, 'W')"
6,False,max_steps,"(5, 8, 'N')","(8, 1)","(7, 6, 'N')",80,0,"(8, 6, 'N')"
7,True,ok,"(5, 5, 'N')","(1, 1)","(1, 1, 'W')",19,0,"(1, 2, 'W')"
8,True,ok,"(4, 8, 'W')","(1, 7)","(1, 7, 'E')",12,0,"(1, 6, 'E')"
9,True,ok,"(1, 3, 'N')","(8, 6)","(8, 6, 'W')",45,0,"(8, 7, 'W')"
10,True,ok,"(2, 5, 'E')","(1, 2)","(1, 2, 'W')",6,0,"(1, 3, 'W')"
11,False,max_steps,"(4, 3, 'W')","(7, 7)","(4, 3, 'W')",80,0,"(4, 3, 'N')"
12,True,ok,"(1, 3, 'S')","(5, 1)","(5, 1, 'S')",8,0,"(4, 1, 'S')"
13,True,ok,"(7, 2, 'W')","(3, 5)","(3, 5, 'E')",13,0,"(3, 4, 'E')"
14,True,ok,"(8, 1, 'S')","(1, 1)","(1, 1, 'N')",9,0,"(2, 1, 'N')"
15,True,ok,"(5, 6, 'W')","(8, 7)","(8, 7, 'W')",58,0,"(8, 8, 'W')"
16,False,max_steps,"(7, 5, 'W')","(7, 2)","(5, 5, 'W')",80,0,"(5, 5, 'N')"
17,False,max_steps,"(8, 6, 'W')","(5, 3)","(5, 5, 'E')",80,0,"(5, 5, 'N')"
18,True,ok,"(7, 1, 'N')","(8, 4)","(8, 4, 'E')",7,0,"(8, 3, 'E')"
19,True,ok,"(3, 3, 'N')","(6, 8)","(6, 8, 'S')",10,0,"(5, 8, 'S')"
20,True,ok,"(8, 6, 'S')","(3, 1)","(3, 1, 'N')",40,0,"(4, 1, 'N')"
21,False,max_steps,"(5, 1, 'S')","(7, 6)","(5, 3, 'N')",80,0,"(6, 3, 'N')"
22,False,max_steps,"(5, 6, 'N')","(6, 3)","(5, 5, 'E')",80,0,"(5, 5, 'N')"
23,True,ok,"(5, 5, 'S')","(1, 2)","(1, 2, 'W')",22,0,"(1, 3, 'W')"
24,True,ok,"(3, 4, 'N')","(8, 3)","(8, 3, 'E')",15,0,"(8, 2, 'E')"
25,True,ok,"(3, 6, 'W')","(7, 5)","(7, 5, 'S')",12,0,"(6, 5, 'S')"
26,True,ok,"(4, 3, 'W')","(8, 3)","(8, 3, 'E')",14,0,"(8, 2, 'E')"
27,True,ok,"(2, 5, 'W')","(5, 5)","(5, 5, 'W')",11,0,"(5, 6, 'W')"
28,True,ok,"(6, 3, 'N')","(1, 1)","(1, 1, 'N')",9,0,"(2, 1, 'N')"
29,True,ok,"(2, 1, 'W')","(3, 4)","(3, 4, 'W')",12,0,"(3, 5, 'W')"
30,True,ok,"(1, 2, 'S')","(5, 2)","(5, 2, 'E')",9,0,"(5, 1, 'E')"
31,True,ok,"(8, 7, 'S')","(5, 8)","(5, 8, 'N')",8,0,"(6, 8, 'N')"
32,True,ok,"(8, 3, 'W')","(1, 1)","(1, 1, 'N')",10,0,"(2, 1, 'N')"
33,True,ok,"(1, 7, 'N')","(7, 1)","(7, 1, 'S')",14,0,"(6, 1, 'S')"
34,True,ok,"(5, 2, 'N')","(1, 6)","(1, 6, 'E')",13,0,"(1, 5, 'E')"
35,True,ok,"(5, 8, 'N')","(7, 5)","(7, 5, 'S')",7,0,"(6, 5, 'S')"
36,True,ok,"(8, 8, 'W')","(1, 2)","(1, 2, 'W')",17,0,"(1, 3, 'W')"
37,True,ok,"(4, 8, 'S')","(6, 5)","(6, 5, 'S')",7,0,"(5, 5, 'S')"
38,True,ok,"(1, 3, 'S')","(5, 7)","(5, 7, 'S')",12,0,"(4, 7, 'S')"
39,True,ok,"(5, 2, 'N')","(8, 3)","(8, 3, 'E')",11,0,"(8, 2, 'E')"
40,True,ok,"(8, 3, 'E')","(5, 7)","(5, 7, 'S')",24,0,"(4, 7, 'S')"
41,True,ok,"(1, 5, 'E')","(5, 3)","(5, 3, 'S')",11,0,"(4, 3, 'S')"
42,True,ok,"(8, 6, 'E')","(1, 6)","(1, 6, 'E')",27,0,"(1, 5, 'E')"
43,True,ok,"(5, 5, 'S')","(2, 5)","(2, 5, 'N')",11,0,"(3, 5, 'N')"
44,True,ok,"(8, 4, 'S')","(5, 5)","(5, 5, 'W')",65,0,"(5, 6, 'W')"
45,False,max_steps,"(5, 3, 'E')","(7, 5)","(5, 2, 'S')",80,0,"(5, 2, 'W')"
46,True,ok,"(5, 1, 'N')","(8, 3)","(8, 3, 'E')",8,0,"(8, 2, 'E')"
47,False,max_steps,"(3, 1, 'W')","(5, 8)","(3, 3, 'W')",80,0,"(3, 3, 'N')"
48,False,max_steps,"(1, 4, 'E')","(6, 3)","(5, 3, 'N')",80,0,"(5, 3, 'W')"
49,True,ok,"(8, 6, 'N')","(5, 2)","(5, 2, 'W')",22,0,"(5, 3, 'W')"
